,assoc,values
0,they buy,"lmr partners llp bought new stake shares shire second quarter valued 55,664,000 ."
1,they buy,"chescapmanager llc bought new stake shares shire second quarter valued 19,144,000 ."
2,they sell,bidaskclub raised shire sell rating hold rating research note tuesday july 3rd .
3,they buy,royal bank canada set 195.00 price objective shire gave stock buy rating research note tuesday october 23rd .
4,they sell,valuengine raised shire sell rating hold rating research note friday august 24th .
5,they buy,berenberg bank lowered shire buy rating hold rating research note friday september 7th .
6,they buy,finally cantor fitzgerald set 222.00 price objective shire gave stock buy rating research note tuesday july 31st .
7,they buy,eight investment analysts rated stock hold rating ten issued buy rating stock .
8,they buy,shire presently average rating buy consensus price target 201.10 .
9,they buy,dimensional fund advisors lp increased holdings shire 179.9 first quarter .
10,they buy,russell investments group ltd. increased holdings shire 244.0 first quarter .
11,they buy,commonwealth equity services llc increased holdings shire 18.3 first quarter .
12,they buy,united capital financial advisers llc increased holdings shire 7.2 first quarter .
13,they buy,finally amundi pioneer asset management inc. increased holdings shire 9.0 first quarter .
14,they sell,valuengine cut shire hold rating sell rating research note thursday september 6th .
15,they buy,royal bank canada set 195.00 price target shire gave company buy rating research note tuesday october 23rd .
16,they buy,bidaskclub upgraded shire hold rating buy rating research note wednesday october 24th .
17,they buy,finally berenberg bank cut shire buy rating hold rating research report friday september 7th .
18,they buy,eight investment analysts rated stock hold rating ten assigned buy rating stock .
19,they buy,company currently average rating buy average target price 201.10 .
20,they buy,cantor fitzgerald set 222.00 price target shares shire gave stock buy rating research note tuesday july 31st .
21,they sell,bidaskclub upgraded shares shire sell rating hold rating research report tuesday july 3rd .
22,they buy,royal bank canada set 188.00 target price shares shire gave company buy rating research report thursday july 19th .
23,they sell,finally valuengine upgraded shares shire sell rating hold rating research report friday september 21st .
24,they buy,eight equities research analysts rated stock hold rating ten given buy rating company stock .
25,they buy,company currently consensus rating buy average price target 201.10 .
26,they buy,"true private wealth advisors invests 161,000 lululemon athletica inc. lulu true private wealth advisors buys shares 4,299 editas medicine inc edit livingston group asset management co operating southport capital management bought new position shares shire plc nasdaq shpg 3rd quarter according company recent filing sec ."
27,they buy,"fund bought 1,019 shares biopharmaceutical company stock valued approximately 185,000 ."
28,they buy,morgan stanley increased position shire 25.7 2nd quarter .
29,they sell,bidaskclub upgraded shire sell rating hold rating report tuesday july 3rd .
30,they buy,royal bank canada set 195.00 price target shire gave stock buy rating report tuesday .
31,they sell,valuengine upgraded shire sell rating hold rating report friday august 24th .
32,they buy,berenberg bank cut shire buy rating hold rating report friday september 7th .
33,they buy,finally cantor fitzgerald set 222.00 price target shire gave stock buy rating report tuesday july 31st .
34,they buy,eight analysts rated stock hold rating ten assigned buy rating company .
35,they buy,shire average rating buy average price target 197.36 .
36,they buy,brokerage currently buy rating biopharmaceutical company stock .
37,they buy,cantor fitzgerald set 222.00 target price shares shire gave stock buy rating research note tuesday july 31st .
38,they sell,bidaskclub raised shares shire sell rating hold rating research note tuesday july 3rd .
39,they sell,valuengine raised shares shire sell rating hold rating research note friday september 21st .
40,they buy,finally berenberg bank downgraded shares shire buy rating hold rating research note friday september 7th .
41,they buy,eight research analysts rated stock hold rating ten given buy rating stock .
42,they buy,company average rating buy average target price 197.36 .
43,they buy,rehmann capital advisory group increased stake shire 226.9 2nd quarter .
44,they buy,morgan stanley increased stake shire 25.7 2nd quarter .
45,they buy,rehmann capital advisory group increased position shares shire 226.9 second quarter .
46,they buy,"finally gam holding ag increased position shares shire 2,242.5 second quarter ."
47,they buy,fy2018 eps estimates netflix inc. cut analyst nasdaq nflx vtorrent trading 78 higher last 7 days vtr highpoint advisor group llc bought new position shire plc nasdaq shpg 3rd quarter according company recent disclosure securities exchange commission sec .
48,they buy,"institutional investor bought 985 shares biopharmaceutical company stock valued approximately 174,000 ."
49,they buy,cantor fitzgerald set 222.00 price objective shire gave company buy rating research note tuesday july 31st .
50,they sell,bidaskclub raised shire sell rating hold rating research note tuesday july 3rd .
51,they buy,royal bank canada set 188.00 price objective shire gave company buy rating research note thursday july 19th .
52,they sell,finally valuengine raised shire sell rating hold rating research note friday september 21st .
53,they buy,eight equities research analysts rated stock hold rating ten assigned buy rating company .
54,they buy,shire consensus rating buy consensus target price 197.36 .
55,they sell,sell-side analysts anticipate shire plc post 15.19 eps current fiscal year .
56,they buy,stock increased 0.15 0.26 last trading session reaching 170.07 .
57,they sell,among 2 analysts covering shire nasdaq shpg 1 buy rating 0 sell 1 hold .
58,they buy,firm market perform rating evercore given tuesday september 4. firm buy rating cantor fitzgerald given thursday april 26 .
