,assoc,values
0,they sell,average consensus rating company 1.7 scale 5 equates unanimous sell rating .
1,they buy,short mean analyst recommendations calling stock buy .
2,they sell,09/10/2018 moser christopher exec vice pres operations sold 43.98 thousand shares price per share 35.11 .
3,they sell,callen david performs svp chief accounting offficer job sold 9.2 thousand shares 305.53 thousand .
4,they sell,analysts assigned mean rating 1.70 1.0 strong buy 5.0 sell .
5,they buy,average analysts currently strong buy recommendation mean rating 4.67. comparison average recommendation month ago strong buy average rating 4.67. similarly average rating observed 2 months ago strong buy mean numerical rating 4.60 average rating observed 3 months ago strong buy mean numerical rating 4.60 .
6,they buy,citigroup raised nrg energy neutral rating buy rating set 38.00 target price company research note monday august 6th .
7,they buy,valuengine raised nrg energy hold rating buy rating research note saturday october 6th .
8,they buy,bank america lifted price target nrg energy 40.00 42.00 gave stock buy rating report thursday september 27th .
9,they sell,finally zacks investment research lowered nrg energy hold rating sell rating report tuesday october 9th .
10,they buy,three research analysts rated stock hold rating four given buy rating stock .
11,they buy,nrg energy currently consensus rating buy average target price 38.17 .
12,they sell,"nrg energy news evp elizabeth r. killinger sold 24,600 shares nrg energy stock transaction dated thursday september 13th ."
13,they sell,"stock sold average price 35.84 total transaction 881,664.00 ."
14,they sell,"also evp christopher moser sold 43,975 shares nrg energy stock transaction dated monday september 10th ."
15,they sell,"stock sold average price 35.11 total value 1,543,962.25 ."
16,they sell,"last 90 days insiders sold 83,775 shares company stock valued 2,959,754 ."
17,they buy,"whittier trust co. nevada inc. bought new position nrg energy 2nd quarter valued approximately 130,000 ."
18,they buy,"stratos wealth partners ltd. bought new position nrg energy 3rd quarter valued approximately 145,000 ."
19,they buy,"finally cerebellum gp llc bought new position nrg energy 2nd quarter valued approximately 168,000 ."
20,they sell,dived 32 investors sold nrg energy inc. shares 138 reduced holdings .
21,they buy,canada pension plan investment board invested 0.05 portfolio nrg energy inc. nyse nrg .
22,they buy,connor clark lunn inv limited invested 0.01 nrg energy inc. nyse nrg .
23,they buy,arizona state retirement systems 0.02 invested nrg energy inc. nyse nrg .
24,they buy,"oakbrook investments ltd co 0.02 invested nrg energy inc. nyse nrg 11,567 shares ."
25,they buy,stock increased 1.19 0.45 last trading session reaching 38.4 .
26,they sell,among 3 analysts covering nrg energy nyse nrg 2 buy rating 0 sell 1 hold .
27,they buy,firm buy rating bank america given tuesday august 7. rating maintained bank america thursday september 27 buy .
28,they buy,technicals front nrg energy inc. nyse nrg overall 88 buy rating .
29,they buy,stock also flashing buy barchart trendspotter trading system .
30,they buy,traders hoping speculate nrg short-term trajectory know short terms indicators stock averaged 80 buy average daily trading volume past 20 days 3821265 shares .
31,they buy,nrg stock overall 0.75 buy signal considering medium term indicators 50-day average daily volume remained almost 3610116 shares .
32,they buy,also worth noting stock whose average daily volume 100 days prior writing 4066209 shares 100 buy basis long term indicators .
33,they sell,09/10/2018 moser christopher exec vice pres operations sold 43.98 thousand shares price per share 35.11 .
34,they sell,callen david performs svp chief accounting offficer job sold 9.2 thousand shares 305.53 thousand .
35,they buy,analysts citigroup upped rating shares nrg energy inc. nyse nrg neutral buy opinion released august 06. citigroup analysts downgraded rating nrg stock buy neutral separate flash note investors july 30 .
36,they sell,average consensus rating company 1.7 scale 5 equates unanimous sell rating .
37,they buy,short mean analyst recommendations calling stock buy .
