,assoc,values
0,they buy,"landaas co. wi adv bought new position shares exelon second quarter valued approximately 116,000 ."
1,they buy,"true private wealth advisors bought new position shares exelon third quarter valued approximately 152,000 ."
2,they buy,"tower research capital llc trc bought new position shares exelon second quarter valued approximately 160,000 ."
3,they buy,"finally cerebellum gp llc bought new position shares exelon third quarter valued approximately 185,000 ."
4,they buy,suntrust banks cut shares exelon buy rating hold rating set 33.00 target price company .
5,they buy,guggenheim reissued buy rating set 51.00 target price shares exelon research report monday july 23rd .
6,they buy,zacks investment research cut shares exelon buy rating hold rating report monday july 23rd .
7,they buy,nine analysts rated stock hold rating ten assigned buy rating company stock .
8,they buy,exelon presently consensus rating buy consensus target price 45.61 .
9,they buy,keycorp overweight rating 46.00 price objective stock .
10,they buy,regentatlantic capital llc increased stake exelon 4.7 3rd quarter .
11,they buy,carroll financial associates inc. increased stake exelon 190.4 3rd quarter .
12,they buy,oregon public employees retirement fund increased stake exelon 0.9 3rd quarter .
13,they buy,burt wealth advisors increased stake exelon 81.6 3rd quarter .
14,they buy,finally nissay asset management corp japan adv increased stake exelon 2.8 3rd quarter .
15,they buy,name required mail published required zacks investment research upgraded shares exelon nyse exc hold rating buy rating report issued monday .
16,they buy,valuengine raised shares exelon hold rating buy rating research report wednesday october 24th .
17,they buy,citigroup downgraded shares exelon buy rating neutral rating set 45.00 target price stock .
18,they buy,jpmorgan chase co. downgraded shares exelon overweight rating neutral rating set 48.00 target price stock .
19,they buy,nine investment analysts rated stock hold rating ten assigned buy rating stock .
20,they buy,stock currently average rating buy consensus target price 45.61 .
21,they sell,sell-side analysts forecast exelon post 3.12 eps current fiscal year .
22,they buy,read dividend get free copy zacks research report exelon exc information research offerings zacks investment research visit zacks.com google_ad_client ca-pub-0703139142419429 google_ad_slot 1418630638 google_ad_width 336 google_ad_height 280 exelon corp nyse exc institutional sentiment increased 1.27 2018 q2 .
23,they sell,ratio positive 328 investment managers increased opened new positions 258 sold reduced stock positions exelon corp. investment managers partner database possess 735.70 million shares 731.27 million shares 2018q1 .
24,they sell,also number investment managers holding exelon corp top 10 positions increased 4 8 increase 4. sold 40 reduced 218 increased 253 new position 75 .
25,they buy,stock increased 0.29 0.13 last trading session reaching 44.21 .
26,they buy,moreover energy income partners llc 4.07 invested company 5.22 million shares .
27,they buy,washington-based lesa sroufe co invested 3.24 stock .
28,they sell,11 wall street analysts rating exelon 6 give buy 0 sell rating 5 recommend hold .
29,they buy,keybanc capital markets maintained shares exc report friday august 17 overweight rating .
30,they buy,firm hold rating suntrust given tuesday september 11. bank america maintained shares exc report thursday may 3 buy rating .
31,they buy,firm earned buy rating monday july 9 citigroup .
32,they buy,stock exelon corporation nyse exc earned neutral rating jp morgan tuesday october 9. rating maintained howard weil sector outperform tuesday july 24. wednesday may 30 stock rating maintained keybanc capital markets overweight .
33,they buy,suntrust banks cut shares exelon buy rating hold rating set 33.00 price objective company .
34,they buy,valuengine raised shares exelon hold rating buy rating research report wednesday october 24th .
35,they buy,morgan stanley increased price objective shares exelon 46.00 48.00 gave stock hold rating research report friday september 21st .
36,they buy,citigroup cut shares exelon buy rating neutral rating set 45.00 price objective company .
37,they buy,finally guggenheim reaffirmed buy rating set 51.00 price objective shares exelon research report monday july 23rd .
38,they buy,nine equities research analysts rated stock hold rating ten given buy rating stock .
39,they buy,exelon average rating buy consensus target price 45.61 .
40,they buy,google_ad_client ca-pub-0703139142419429 google_ad_slot 1418630638 google_ad_width 336 google_ad_height 280 zacks investment research upgraded shares exelon nyse exc hold rating buy rating report issued monday .
41,they buy,valuengine raised shares exelon hold rating buy rating research report wednesday october 24th .
42,they buy,citigroup downgraded shares exelon buy rating neutral rating set 45.00 target price stock .
43,they buy,jpmorgan chase co. downgraded shares exelon overweight rating neutral rating set 48.00 target price stock .
44,they buy,nine investment analysts rated stock hold rating ten assigned buy rating stock .
45,they buy,stock currently average rating buy consensus target price 45.61 .
46,they sell,sell-side analysts forecast exelon post 3.12 eps current fiscal year .
47,they buy,"read dividendviewcount articlehistoryid=25972636 postdate=2018-10-30 type=a secondary=1 id=1107349 get free copy zacks research report exelon exc information research offerings zacks investment research visit zacks.com keyword exelon nyse exc exc utilitie,30161n10 upgrade zacks investment researchratings:3,17 nyse exc receive news ratings exelon daily enter email address receive concise daily summary latest news analysts ratings exelon related companies marketbeat.com free daily email newsletter ."
48,they buy,suntrust banks cut shares exelon buy rating hold rating set 33.00 price objective company .
49,they buy,valuengine raised shares exelon hold rating buy rating research report wednesday october 24th .
