,stock,price,net_change,volume,H/L,52 H/L,pe,market_cap
0,WalmartInc.WMTNYSE,$90.05,0.28,5038330,$90.23$89.37,$109.98$77.50,30.12,265870734
1,CostcoWholesaleCorporationCOSTNASDAQ-GS,$224.60,0.74,1753771,$224.88$222.24,$225.48$150.06,32.93,98558972
2,TargetCorporationTGTNYSE,$82.39,0.15,2670367,$82.51$81.68,$82.799$53.90,15.12,43924993
3,DollarGeneralCorporationDGNYSE,$101.78,0.86,1484279,$101.96$100.6252,$105.82$70.30,16.96,27232053
4,DollarTreeInc.DLTRNASDAQ-GS,$91.62,-1.26,1911422,$92.88$91.27,$116.65$72.78,13.03,21785037
5,KohlsCorporationKSSNYSE,$74.42,1.32,2235210,$74.88$73,$79.92$36.50,14.31,12435284
6,MacysIncMNYSE,$39.89,0.42,4367414,$39.98$39.40,$41.33$17.405,7.58,12221139
7,BurlingtonStoresInc.BURLNYSE,$157.59,0.97,942313,$158.04$155.93,$158.96$79.07,26.35,10654975
8,FiveBelowInc.FIVENASDAQ-GS,$103.88,0.02,427322,$104.83$102.49,$109.09$46,49.94,5778844
9,OlliesBargainOutletHoldingsInc.OLLINASDAQ-GM,$70.70,0.25,452147,$70.95$69.35,$77.50$41.305,33.35,4408004
10,BJsWholesaleClubHoldingsInc.BJNYSE,$26,0.47,565737,$26.18$25.31,$27.46$20.56,NE,3284008
11,PriceSmartInc.PSMTNASDAQ-GS,$82.70,-0.05,77157,$83$81.50,$94.45$77.30,33.62,2514163
12,DillardsInc.DDSNYSE,$84.29,2.50,943470,$88.48$84.24,$98.75$49.91,10.08,1988485
13,BigLotsInc.BIGNYSE,$47.41,0.32,1127625,$47.61$46.8501,$64.42$36.20,11.94,1912567
14,J.C.PenneyCompanyInc.HoldingCompanyJCPNYSE,$2.38,-0.02,10759353,$2.42$2.34,$5.57$2.25,NE,748013
15,HudsonLtd.HUDNYSE,$18.89,-0.04,317638,$19.145$18.72,$19.77$14.23,NE,744606
16,DillardsInc.DDTNYSE,$27.87,0.30,9041,$27.8899$27.56,$29.08$25.13,NE,222960
17,SearsHoldingsCorporationSHLDNASDAQ-GS,$1.99,0.08,836090,$2.01$1.87,$9.63$1.76,NE,212996
18,TuesdayMorningCorp.TUESNASDAQ-GS,$2.875,-0.08,67628,$3$2.85,$4.10$1.65,NE,131825
19,FredsInc.FREDNASDAQ-GS,$1.82,-0.03,396129,$1.875$1.80,$7.63$1.30,NE,67813
20,SearsHometownandOutletStoresInc.SHOSNASDAQ-CM,$2.40,-0.08,45715,$2.50$2.35,$3.95$1.375,NE,54518
21,SearsHoldingsCorporationSHLDWNASDAQ-GS,$.151,0.00,15600,$.20$.151,$2.59$.0508,NE,3322
