,stock,price,net_change,volume,H/L,52 H/L,pe,market_cap
0,CiscoSystemsInc.CSCONASDAQ-GS,$43.78,unch,14322072,$43.95$43.58,$46.37$30.36,NE,205892174
1,AristaNetworksInc.ANETNYSE,$268.85,-0.49,440145,$270.63$266.77,$311.67$160.94,40.61,20116432
2,F5NetworksInc.FFIVNASDAQ-GS,$179.98,0.07,345154,$180.52$178.71,$183.27$114.63,24.62,10999478
3,JuniperNetworksInc.JNPRNYSE,$26.89,-0.05,2539738,$27.09$26.78,$29.95$23.61,54.88,9271538
4,ElectronicsforImagingInc.EFIINASDAQ-GS,$34.20,-0.14,331393,$34.57$33.97,$43.89$25.28,NE,1529458
5,ExtremeNetworksInc.EXTRNASDAQ-GS,$6.46,0.22,4131338,$6.515$6.15,$15.55$5.35,NE,748669
6,A10NetworksInc.ATENNYSE,$6.68,0.12,417698,$6.74$6.44,$8.25$5.6301,NE,472617
7,DigiInternationalInc.DGIINASDAQ-GS,$13.10,unch,39348,$13.20$12.99,$14.70$8.50,187.14,355678
8,SilicomLtdSILCNASDAQ-GS,$37.88,-0.43,40123,$38.08$37.13,$77.95$32,18.3,285994
9,AllotCommunicationsLtd.ALLTNASDAQ-GS,$6.24,-0.01,78131,$6.3254$6.18,$6.28$4.74,NE,209589
10,LantronixInc.LTRXNASDAQ-CM,$3.20,-0.14,40478,$3.40$3.181,$3.90$1.78,NE,58394
11,EchelonCorporationELONNASDAQ-GS,$8.40,-0.05,23807,$8.406$8.35,$8.92$4.07,NE,38153
12,BlackBoxCorporationBBOXNASDAQ-GS,$1.49,0.03,144195,$1.49$1.448,$7.65$.75,NE,22699
13,BIO-keyInternationalInc.BKYINASDAQ-CM,$1.86,0.03,17031,$1.919$1.81,$3.67$1.20,NE,19854
14,B.O.S.BetterOnlineSolutionsBOSCNASDAQ-CM,$2.52,0.04,1487,$2.52$2.472,$2.97$1.53,10.08,8460
