,assoc,values
0,they buy,average analysts currently moderate buy recommendation mean rating 3.89. comparison average recommendation month ago moderate buy average rating 4.00. similarly average rating observed 2 months ago moderate buy mean numerical rating 4.15 average rating observed 3 months ago moderate buy mean numerical rating 4.06 .
1,they sell,11 analysts 22 wall street brokerage firms rate southwest airlines co. nyse luv buy 2 see sell .
2,they buy,getting trading period increased 200 days stock price seen 85.87 average .
3,they sell,objective using rsi help trader identify sold overbought price areas .
4,they buy,security reading 70 100 security supposed heavily bought ready downward correction .
