,assoc,values
0,they sell,according composite indicator trendspotter rated ph stock sell .
1,they sell,"short-term parker-hannifin corporation ph 20-day average volume 1,380,630 shares short-term indicators sets ph stock 80 sell average basis ."
2,they sell,"medium-term ph stock 50-day average volume 1,130,538 shares medium-term indicators gave average rating 100 sell long-term period fb stock 100-day average volume 1,166,150 shares ."
3,they sell,average long-term indicators rated stock 33 sell .
4,they sell,overall picture short medium long-term indicators sets ph stock 80 sell average basis .
5,they sell,gordon haskett example initiated rating shares parker-hannifin corporation sell according research note friday october 12th 2018. giving stock buy neutral rating stated research report friday september 14th 2018. morgan stanley hand initiated equal-weight rating stock posting 185 price target shares company stock research note dated tuesday august 21st 2018 .
6,they sell,meantime 18 new institutions bought shares parker-hannifin corporation first time 10 institutions sold holdings company common stock .
7,they buy,82 institutions increased investment ph stock 75 institutions decreased investment parker-hannifin corporation ph stock last quarter .
8,they sell,three equities research analysts rated stock sell recommendation nine assigned hold recommendation nine assigned buy recommendation company .
9,they sell,valuengine raised parker-hannifin sell rating hold rating report tuesday august 7th .
10,they buy,med downgraded parker-hannifin buy rating hold rating set 169.00 price objective stock .
11,they sell,issued sell rating stock .
12,they sell,parker-hannifin nyse ph downgraded analysts valuengine hold rating sell rating note issued investors wednesday october 17th .
13,they buy,med cut parker-hannifin buy rating hold rating set 169.00 target price company .
14,they sell,three equities research analysts rated stock sell rating nine given hold rating nine issued buy rating company stock .
15,they sell,sell-side analysts forecast parker-hannifin post 11.41 earnings per share current year .
16,they sell,"news vp joseph r. leonti sold 1,605 shares firm stock transaction occurred wednesday september 5th ."
17,they sell,"stock sold average price 176.56 total value 283,378.80 ."
18,they sell,"also vp william r. bowman sold 2,400 shares firm stock transaction occurred wednesday august 29th ."
19,they sell,"shares sold average price 175.36 total value 420,864.00 ."
20,they buy,"first hawaiian bank bought new stake parker-hannifin third quarter worth 125,000 ."
21,they sell,"keyword parker-hannifin nyse ph ph industrial product,70109410 downgrade valuengineratings:3,19 nyse phrefreshed1 receive news ratings parker-hannifin daily enter email address receive concise daily summary latest news analysts ratings parker-hannifin related companies marketbeat.com free daily email newsletter ."
22,they buy,0.51 eps expected navient corp navi quarter parker-hannifin nyse ph downgraded zacks investment research buy rating hold rating report issued thursday october 18th .
23,they sell,valuengine lowered shares parker-hannifin hold rating sell rating research report wednesday october 17th .
24,they sell,issued sell rating company .
25,they sell,three research analysts rated stock sell rating nine given hold rating nine issued buy rating company .
26,they sell,"news vp joseph r. leonti sold 1,605 shares company stock transaction dated wednesday september 5th ."
27,they sell,"shares sold average price 176.56 total value 283,378.80 ."
28,they sell,"also vp william r. bowman sold 2,400 shares company stock transaction dated wednesday august 29th ."
29,they sell,"stock sold average price 175.36 total transaction 420,864.00 ."
30,they sell,several hedge funds institutional investors recently bought sold shares company .
31,they sell,"get free copy zacks research report parker-hannifin ph information research offerings zacks investment research visit zacks.com keyword parker-hannifin nyse ph ph industrial product,70109410 downgrade zacks investment researchratings:3,19 nyse phrefreshed1 receive news ratings parker-hannifin daily enter email address receive concise daily summary latest news analysts ratings parker-hannifin related companies marketbeat.com free daily email newsletter ."
32,they sell,tpg finance trust trtx lowered strong sell zacks investment research parker-hannifin nyse ph downgraded zacks investment research buy rating hold rating report released thursday october 18th .
33,they buy,argus lowered parker-hannifin buy rating hold rating set 176.00 price target stock .
34,they buy,buckingham research upgraded parker-hannifin neutral rating buy rating report friday september 14th .
35,they buy,finally robert w. baird set 190.00 price target parker-hannifin gave company buy rating research note thursday august 2nd .
36,they sell,three equities research analysts rated stock sell rating nine issued hold rating nine given buy rating stock .
37,they sell,"related news vp joseph r. leonti sold 1,605 shares business stock transaction wednesday september 5th ."
38,they sell,"stock sold average price 176.56 total transaction 283,378.80 ."
39,they sell,"also vp william r. bowman sold 2,400 shares business stock transaction wednesday august 29th ."
40,they sell,"stock sold average price 175.36 total value 420,864.00 ."
41,they sell,"get free copy zacks research report parker-hannifin ph information research offerings zacks investment research visit zacks.com keyword parker-hannifin nyse ph ph industrial product,70109410 downgrade zacks investment researchratings:3,19 nyse phrefreshed1 receive news ratings parker-hannifin daily enter email address receive concise daily summary latest news analysts ratings parker-hannifin related companies marketbeat.com free daily email newsletter ."
42,they buy,name required zacks investment research upgraded shares parker-hannifin nyse ph hold rating buy rating research report released tuesday october 16th .
43,they buy,bmo capital markets reissued buy rating issued 190.00 target price shares parker-hannifin research report thursday july 19th .
44,they buy,robert w. baird set 190.00 target price parker-hannifin gave company buy rating research report thursday august 2nd .
45,they buy,buckingham research raised parker-hannifin neutral rating buy rating research report friday september 14th .
46,they buy,finally stifel nicolaus boosted target price parker-hannifin 200.00 212.00 gave company buy rating research report monday september 24th .
47,they sell,three equities research analysts rated stock sell rating nine assigned hold rating nine issued buy rating stock .
48,they sell,"related news vp joseph r. leonti sold 1,605 shares firm stock transaction occurred wednesday september 5th ."
49,they sell,"shares sold average price 176.56 total transaction 283,378.80 ."
50,they sell,"also vp william r. bowman sold 2,400 shares firm stock transaction occurred wednesday august 29th ."
51,they sell,"stock sold average price 175.36 total transaction 420,864.00 ."
52,they buy,"get free copy zacks research report parker-hannifin ph information research offerings zacks investment research visit zacks.com keyword parker-hannifin nyse ph ph industrial product,70109410 upgrade zacks investment researchratings:3,19 nyse phrefreshed1 receive news ratings parker-hannifin daily enter email address receive concise daily summary latest news analysts ratings parker-hannifin related companies marketbeat.com free daily email newsletter ."
