,assoc,values
0,they sell,company spent 3.58 billion trying sell products last quarter result yielding gross income 2.92 billion .
1,they sell,"related news sr. vp cfo williamson stephen sold 2,500 shares company stock transaction recorded march 4th 2019. sale performed average price 266.00 total value 665,000. sale deal closes senior vice president williamson stephen sold 3,299 shares company stock valued 867,815. also senior vice president herrema gregory j. sold 19,808 shares company stock deal recorded february 25th 2019. shares sold average price 253.29 per share total market value 24,988. following completion acquisition senior vice president holds 5,400 shares company stock valued 1,358,154. last 6 months insiders changed ownership shares company stock 0.10 ."
2,they buy,9 17 analysts covering stock rated buy 3 maintained hold recommendation thermo fisher scientific inc. stock .
3,they sell,0 analysts assigned sell rating tmo stock .
4,they buy,"cx institutional bought new position shares thermo fisher scientific 1st quarter valued 36,000 ."
5,they sell,"news cfo stephen williamson sold 2,500 shares business stock transaction occurred monday march 4th ."
6,they sell,"stock sold average price 266.00 total transaction 665,000.00 ."
7,they sell,"also cao peter e. hornstra sold 5,920 shares business stock transaction occurred friday february 15th ."
8,they sell,"stock sold average price 250.00 total value 1,480,000.00 ."
9,they sell,"last 90 days insiders sold 36,927 shares company stock valued 9,388,124 ."
10,they buy,zacks investment research upgraded thermo fisher scientific hold rating buy rating set 310.00 price objective company report tuesday april 9th .
11,they buy,btig research lifted price target thermo fisher scientific 310.00 gave stock buy rating report tuesday march 26th .
12,they buy,set strong-buy rating 271.00 price target company .
13,they buy,finally deutsche bank lifted price target thermo fisher scientific 275.00 300.00 gave stock buy rating report friday march 22nd .
14,they buy,two research analysts rated stock hold rating twelve issued buy rating one assigned strong buy rating stock .
15,they buy,thermo fisher scientific currently average rating buy average price target 289.92 .
16,they sell,group sell-side analysts predict thermo fisher scientific inc. post 12.15 eps current year .
17,they sell,analyses consensus rating score stands 1.8. next one year period average individual price target estimates referred covering sell-side analysts 279.27 .
18,they sell,trading volume also signal investor take profits sell security due low activity .
19,they buy,recent news story stock appeared yahoo finance news section titled top ranked momentum stocks buy april 16th dated april 16 2019 .
20,they buy,analysts bofa/merrill lifted target price shares tmo stick buy recommendation stock opinion released april 16. price target raised 285 300 .
21,they buy,needham analysts launched coverage thermo fisher scientific inc. nyse tmo stock strong buy recommendation according flash note issued investors january 03. analysts cleveland research lowered stock neutral call previous buy recommendation research note dated back october 18 .
22,they sell,analysts rate stock buy strong buy rated sell .
23,they sell,14 analysts rated thermo fisher scientific inc. nyse tmo buy strong buy single analyst advised investors desist purchasing stock sell already company stock .
24,they sell,"sr. vp cfo williamson stephen sold 2,500 shares 42,529 transaction occurred 2019/03/04 ."
25,they buy,"trading activity significantly improved volume ready counter increased 1,634,999 shares versus 1,237,670 average daily trading volume past 20 days ."
26,they buy,seen new analyst call needham initiated stock strong buy january 03. analysts cleveland research shed positive views october 18 lowering frombuy neutral .
27,they buy,analysts ubs made first call stock october 09 recommending buy .
28,they buy,hanson mcclain inc. increased holdings thermo fisher scientific 263.9 4th quarter .
29,they buy,"gradient investments llc increased holdings thermo fisher scientific 1,887.5 4th quarter ."
30,they buy,wespac advisors socal llc increased holdings thermo fisher scientific 70.0 4th quarter .
31,they buy,zacks investment research raised shares thermo fisher scientific hold rating buy rating set 310.00 target price company report tuesday april 9th .
32,they buy,btig research upped price target thermo fisher scientific 310.00 gave stock buy rating research note tuesday march 26th .
33,they buy,ubs group upped price target thermo fisher scientific 305.00 gave stock buy rating research note monday march 25th .
34,they buy,finally deutsche bank upped price target thermo fisher scientific 275.00 300.00 gave stock buy rating research note friday march 22nd .
35,they buy,two analysts rated stock hold rating eleven assigned buy rating one given strong buy rating stock .
36,they buy,stock presently average rating buy consensus price target 289.00 .
37,they sell,sell-side analysts anticipate thermo fisher scientific inc. post 12.15 eps current fiscal year .
