,assoc,values
0,they buy,calculations show 200 day moving average 283.08 50 day moving average 277.61. currently noc stock trading 200 day moving average may good opportunity buy check indicators confirm buy signal .
1,they buy,average analysts currently moderate buy recommendation mean rating 4.38. comparison average recommendation month ago moderate buy average rating 4.23. similarly average rating observed 2 months ago moderate buy mean numerical rating 4.23 average rating observed 3 months ago moderate buy mean numerical rating 4.23 .
