,assoc,values
0,they buy,similarly research note sent december 7th 2017 credit suisse analysts initiated shares stock outperform set price target 173.additionally research note made public october 24th 2017 analysts bofa/merrill resumed common shares nee stock buy combined 12-month price target 166 .
1,they buy,average analysts currently moderate buy recommendation mean rating 4.33. comparison average recommendation month ago moderate buy average rating 4.40. similarly average rating observed 2 months ago moderate buy mean numerical rating 4.40 average rating observed 3 months ago moderate buy mean numerical rating 4.40 .
