,assoc,values
0,they sell,news director timothy tomlinson sold 580 shares business stock transaction tuesday february 19th .
1,they sell,"shares sold average price 175.12 total value 101,569.60 ."
2,they buy,zacks investment research upgraded shares verisign hold rating buy rating set 195.00 target price company report saturday february 9th .
3,they buy,bidaskclub upgraded shares verisign hold rating buy rating report tuesday january 29th .
4,they buy,finally valuengine upgraded shares verisign buy rating strong-buy rating report tuesday february 12th .
5,they buy,four equities research analysts rated stock hold rating one assigned buy rating two given strong buy rating stock .
6,they buy,company presently consensus rating buy average target price 175.00 .
