,assoc,values
0,they buy,average daily trading volumes 1428687 shares days cover increased 2.446898 days .
1,they sell,analysts rate stock buy strong buy rated sell .
2,they sell,19 analysts rated vertex pharmaceuticals incorporated nasdaq vrtx buy strong buy single analyst advised investors desist purchasing stock sell already company stock .
3,they buy,rating recommendations 8 given stock buy 11 recommend stock outperform .
4,they sell,5 given stock hold rating 0 underperform 0 sell .
