,assoc,values
0,they buy,zacks investment research lowered cigna strong-buy rating hold rating research report tuesday october 9th .
1,they buy,suntrust banks increased price objective cigna gave company buy rating report thursday september 27th .
2,they sell,valuengine raised cigna sell rating hold rating report monday september 17th .
3,they buy,leerink swann increased price objective cigna 235.00 250.00 gave company outperform rating report friday september 21st .
4,they buy,three analysts rated stock hold rating twelve issued buy rating company stock .
5,they buy,cigna currently average rating buy average price target 231.14 .
6,they sell,news director william d. zollars sold 238 shares stock transaction dated friday september 14th .
7,they sell,"stock sold average price 193.70 total transaction 46,100.60 ."
8,they buy,national bank financial lowers canadian tire ctc.a price target c 179.00 new senior investment group snr rating increased equal weight morgan stanley new jersey better educational savings trust reduced stake shares cigna co. nyse ci 20.0 3rd quarter according company recent form 13f filing securities exchange commission sec .
9,they sell,number hedge funds institutional investors also recently bought sold shares business .
10,they buy,suntrust banks raised price target cigna 244.00 gave company buy rating research report friday august 3rd .
11,they buy,jefferies financial group reaffirmed buy rating issued 224.00 price target shares cigna research report friday august 3rd .
12,they buy,zacks investment research raised cigna hold rating buy rating set 212.00 price target stock research report tuesday august 7th .
13,they sell,valuengine raised cigna sell rating hold rating research report friday august 3rd .
14,they buy,three equities research analysts rated stock hold rating twelve issued buy rating stock .
15,they buy,stock currently average rating buy average target price 231.14 .
16,they sell,related news director william d. zollars sold 238 shares cigna stock transaction dated friday september 14th .
17,they sell,"stock sold average price 193.70 total transaction 46,100.60 ."
