,assoc,values
0,they sell,contrary peers pcs smartphones rely relatively open operating systems windows android respectively apple walled garden approach popular ios allows charge premium relatively commoditized hardware different sold samsung dell others .
1,they buy,analysts expect qualcomm licensing business show solid growth increased 3g 4g device adoption .
2,they buy,however recent government investigations business model apple lawsuit qualcomm business practices increased possibility negative effects royalty revenue .
3,they sell,qualcomm treasure trove patents monopoly 3g significant portion 4g allows firm charge device-makers royalty fee percentage price 3g 4g device sold 4g phones backward-compatible 3g .
4,they buy,13. aapl average analyst rating buy .
5,they sell,perhaps good time sell 8. aapl profitability declining .
6,they sell,thoughts aapl liked analysis check buy sell stock guides stocks .
7,they buy,loop capital raised price objective shares apple 195.00 210.00 gave stock buy rating report friday july 6th .
8,they buy,royal bank canada reissued buy rating issued 210.00 price objective shares apple report monday july 9th .
9,they buy,bank america reissued buy rating issued 230.00 price objective previously 225.00 shares apple report tuesday july 10th .
10,they buy,zacks investment research raised shares apple hold rating buy rating set 213.00 price objective stock report wednesday july 11th .
11,they sell,three equities research analysts rated stock sell rating eighteen issued hold rating thirty-one given buy rating company .
12,they buy,stock presently average rating buy average price target 225.51 .
13,they sell,"apple news svp angela j. ahrendts sold 25,000 shares apple stock transaction wednesday october 3rd ."
14,they sell,"shares sold average price 232.66 total transaction 5,816,500.00 ."
15,they sell,"also ceo timothy d. cook sold 265,160 shares apple stock transaction monday august 27th ."
16,they sell,"stock sold average price 217.79 total transaction 57,749,196.40 ."
17,they sell,"insiders sold 564,185 shares company stock worth 124,444,213 last 90 days ."
18,they buy,macquarie reaffirmed buy rating set 235.00 target price shares apple report monday .
19,they buy,bank america reaffirmed buy rating set 235.00 target price shares apple report monday .
20,they buy,jpmorgan chase co. set 272.00 price objective apple gave company buy rating report monday .
21,they buy,issued buy rating 265.00 price objective stock .
22,they sell,three investment analysts rated stock sell rating eighteen issued hold rating thirty-one assigned buy rating stock .
23,they buy,company currently consensus rating buy consensus target price 225.51 .
24,they sell,"news svp angela j. ahrendts sold 25,000 shares firm stock transaction occurred wednesday october 3rd ."
25,they sell,"stock sold average price 232.66 total value 5,816,500.00 ."
26,they sell,"also insider johny srouji sold 14,140 shares firm stock transaction occurred friday august 17th ."
27,they sell,"shares sold average price 214.98 total value 3,039,817.20 ."
28,they sell,"last 90 days insiders sold 564,185 shares company stock worth 124,444,213 ."
29,they buy,financial counselors inc. increased stake apple 3.2 third quarter .
30,they buy,robecosam ag increased stake apple 7.5 third quarter .
31,they buy,partnervest advisory services llc increased stake apple 22.2 third quarter .
32,they buy,acadian asset management llc increased stake apple 2.0 third quarter .
33,they buy,finally inverness counsel llc ny increased stake apple 1.6 third quarter .
34,they buy,name required mail published required apple nasdaq aapl stock buy rating reaffirmed analysts bank america report released monday fly reports .
35,they buy,jpmorgan chase co. set 272.00 target price apple gave company buy rating research note monday .
36,they buy,issued buy rating 265.00 target price stock .
37,they buy,bidaskclub raised apple hold rating buy rating research note wednesday october 24th .
38,they buy,finally rosenblatt securities set 200.00 price target apple gave stock buy rating research note monday october 22nd .
39,they sell,three equities research analysts rated stock sell rating eighteen given hold rating thirty-one assigned buy rating company stock .
40,they buy,company consensus rating buy average target price 225.51 .
41,they sell,"related news insider johny srouji sold 14,140 shares stock transaction friday august 17th ."
42,they sell,"stock sold average price 214.98 total value 3,039,817.20 ."
43,they sell,"also director arthur d. levinson sold 20,000 shares stock transaction thursday august 2nd ."
44,they sell,"stock sold average price 206.58 total value 4,131,600.00 ."
45,they sell,"insiders sold total 564,185 shares company stock worth 124,444,213 last ninety days ."
46,they buy,cranbrook wealth management llc increased holdings apple 76.1 2nd quarter .
47,they sell,"news svp angela j. ahrendts sold 14,194 shares business stock transaction friday october 5th ."
48,they sell,"shares sold average price 227.96 total transaction 3,235,664.24 ."
49,they sell,"also director arthur d. levinson sold 20,000 shares business stock transaction thursday august 2nd ."
50,they sell,"shares sold average price 206.58 total transaction 4,131,600.00 ."
51,they sell,"last 90 days insiders sold 564,185 shares company stock worth 124,444,213 ."
52,they sell,several institutional investors recently bought sold shares aapl .
53,they buy,"fy2018 eps estimates eagle bancorp inc. nasdaq egbn raised analyst merculet crypto mvp one day volume hits 387,819.00 apple nasdaq aapl price target increased citigroup 230.00 265.00 report published monday october 8th marketbeat ratings reports ."
54,they buy,citigroup currently buy rating iphone maker stock .
55,they buy,morgan stanley reissued buy rating set 245.00 price objective previously 232.00 shares apple research report wednesday september 5th .
56,they buy,da davidson reissued buy rating set 265.00 price objective previously 230.00 shares apple research report wednesday september 5th .
57,they buy,finally dz bank reissued buy rating shares apple research report monday september 3rd .
58,they sell,three research analysts rated stock sell rating eighteen issued hold rating thirty-two assigned buy rating stock .
59,they buy,apple presently average rating buy average price target 225.09 .
60,they sell,"related news ceo timothy d. cook sold 265,160 shares apple stock transaction dated monday august 27th ."
61,they sell,"stock sold average price 217.79 total value 57,749,196.40 ."
62,they sell,"also director arthur d. levinson sold 20,000 shares apple stock transaction dated thursday august 2nd ."
63,they sell,"stock sold average price 206.58 total value 4,131,600.00 ."
64,they sell,"insiders sold total 564,185 shares company stock valued 124,444,213 last quarter ."
65,they buy,"fort l.p. bought new stake shares apple 2nd quarter valued 119,000 ."
66,they buy,"delphi private advisors llc bought new stake shares apple 2nd quarter valued 120,000 ."
67,they buy,"quattro financial advisors llc bought new position shares apple 1st quarter valued approximately 133,000 ."
68,they buy,"finally smart portfolios llc bought new position shares apple 1st quarter valued approximately 134,000 ."
69,they sell,idiot sell years ago .
70,they buy,buy buy buy .
71,they sell,several hedge funds institutional investors also recently bought sold shares aapl .
72,they buy,finally macroview investment management llc increased holdings apple 220.3 1st quarter .
73,they sell,"related news svp angela j. ahrendts sold 14,194 shares apple stock transaction friday october 5th ."
74,they sell,"shares sold average price 227.96 total value 3,235,664.24 ."
75,they sell,"also svp angela j. ahrendts sold 25,000 shares apple stock transaction wednesday october 3rd ."
76,they sell,"stock sold average price 232.66 total transaction 5,816,500.00 ."
77,they sell,"last three months insiders sold 564,185 shares company stock worth 124,444,213 ."
78,they buy,bidaskclub upgraded shares apple hold rating buy rating report wednesday october 24th .
79,they buy,macquarie restated buy rating set 235.00 target price shares apple report monday .
80,they sell,three analysts rated stock sell rating eighteen issued hold rating thirty-one given buy rating company stock .
81,they buy,apple consensus rating buy average target price 225.51 .
82,they sell,several hedge funds institutional investors also recently bought sold shares aapl .
83,they sell,"related news svp angela j. ahrendts sold 14,194 shares company stock transaction dated friday october 5th ."
84,they sell,"shares sold average price 227.96 total value 3,235,664.24 ."
85,they sell,"also director arthur d. levinson sold 20,000 shares company stock transaction dated thursday august 2nd ."
86,they sell,"stock sold average price 206.58 total transaction 4,131,600.00 ."
87,they sell,"insiders sold 564,185 shares company stock valued 124,444,213 last 90 days ."
88,they buy,royal bank canada set 240.00 price target shares apple gave stock buy rating report monday september 24th .
89,they buy,issued overweight rating 272.00 target price stock .
90,they buy,morgan stanley raised target price shares apple 214.00 232.00 gave stock overweight rating research report tuesday july 24th .
91,they sell,three investment analysts rated stock sell rating eighteen issued hold rating thirty-one assigned buy rating company stock .
92,they buy,company presently average rating buy average target price 225.51 .
93,they sell,several hedge funds institutional investors also recently bought sold shares aapl .
94,they buy,royal bank canada set 240.00 target price shares apple gave stock buy rating research report monday september 24th .
95,they buy,issued overweight rating 272.00 target price stock .
96,they buy,morgan stanley raised target price shares apple 214.00 232.00 gave stock overweight rating research report tuesday july 24th .
97,they sell,three investment analysts rated stock sell rating eighteen issued hold rating thirty-one assigned buy rating company stock .
98,they buy,company presently average rating buy average target price 225.51 .
99,they buy,brokerage currently buy rating iphone maker stock .
100,they buy,tigress financial reaffirmed buy rating shares apple research note thursday august 30th .
101,they buy,robert w. baird set 230.00 price objective apple gave company buy rating research note tuesday september 4th .
102,they sell,new street research reaffirmed sell rating shares apple research note tuesday september 18th .
103,they buy,needham company llc upped price objective apple 220.00 260.00 gave company buy rating research note thursday september 13th .
104,they buy,finally bank america reaffirmed buy rating shares apple research note tuesday october 9th .
105,they sell,three investment analysts rated stock sell rating eighteen assigned hold rating thirty-two given buy rating company .
106,they buy,stock currently consensus rating buy consensus price target 225.09 .
107,they sell,"apple news ceo timothy d. cook sold 265,160 shares stock transaction occurred monday august 27th ."
108,they sell,"stock sold average price 217.79 total transaction 57,749,196.40 ."
109,they sell,"also svp angela j. ahrendts sold 14,194 shares stock transaction occurred friday october 5th ."
110,they sell,"stock sold average price 227.96 total value 3,235,664.24 ."
111,they sell,"insiders sold total 564,185 shares company stock worth 124,444,213 last 90 days ."
112,they sell,several institutional investors recently bought sold shares business .
113,they sell,hedge funds institutional investors also bought sold shares company .
114,they buy,hanson mcclain inc. increased holdings shares apple 3.9 fourth quarter .
115,they buy,cable hill partners llc increased holdings shares apple 2.5 fourth quarter .
116,they buy,"root company llc bought new position shares apple fourth quarter valued 4,290,000 ."
117,they buy,"wagner wealth management llc bought new position shares apple fourth quarter valued 2,271,000 ."
118,they buy,"finally ackerman capital advisors llc bought new position shares apple fourth quarter valued 620,000 ."
119,they sell,"related news svp angela j. ahrendts sold 25,000 shares business stock transaction occurred wednesday october 3rd ."
120,they sell,"stock sold average price 232.66 total value 5,816,500.00 ."
121,they sell,"also ceo timothy d. cook sold 265,160 shares business stock transaction occurred monday august 27th ."
122,they sell,"stock sold average price 217.79 total value 57,749,196.40 ."
123,they sell,"last ninety days insiders sold 564,185 shares company stock worth 124,444,213 ."
124,they buy,loop capital lifted price objective apple 195.00 210.00 gave stock buy rating report friday july 6th .
125,they buy,bidaskclub downgraded apple strong-buy rating buy rating report wednesday september 12th .
126,they buy,morgan stanley reiterated buy rating issued 247.00 price objective shares apple report wednesday september 26th .
127,they buy,jpmorgan chase co. reiterated buy rating issued 272.00 price objective shares apple report wednesday october 10th .
128,they buy,finally royal bank canada reiterated buy rating issued 240.00 price objective shares apple report tuesday september 11th .
129,they sell,three investment analysts rated stock sell rating eighteen given hold rating thirty-one given buy rating company stock .
130,they buy,apple average rating buy consensus target price 225.51 .
131,they buy,swiss sren given chf 78 price target ubs group canadian pacific railway cp releases q3 2018 earnings guidance apple nasdaq aapl stock buy rating reaffirmed investment analysts rosenblatt securities research note issued investors tuesday .
132,they buy,bidaskclub upgraded apple hold rating buy rating research report wednesday october 24th .
133,they buy,macquarie set 235.00 price target apple gave stock buy rating research report monday .
134,they buy,finally bmo capital markets increased price target apple 184.00 199.00 gave stock market perform rating research report wednesday august 1st .
135,they sell,three investment analysts rated stock sell rating eighteen assigned hold rating thirty-two given buy rating company .
136,they buy,stock presently consensus rating buy consensus price target 225.09 .
137,they sell,"apple news svp angela j. ahrendts sold 14,194 shares stock transaction dated friday october 5th ."
138,they sell,"stock sold average price 227.96 total transaction 3,235,664.24 ."
