,assoc,values
0,they sell,valuengine upgraded shares avalonbay communities sell rating hold rating report thursday august 2nd .
1,they buy,stifel nicolaus raised price objective shares avalonbay communities 180.00 195.00 gave company buy rating report thursday august 2nd .
2,they buy,mizuho reiterated buy rating issued 212.00 price objective shares avalonbay communities report monday august 6th .
3,they sell,zelman associates lowered shares avalonbay communities hold rating sell rating report monday august 6th .
4,they sell,one investment analyst rated stock sell rating fourteen given hold rating eight assigned buy rating company .
5,they sell,"avalonbay communities news coo sean j. breslin sold 7,200 shares stock transaction occurred friday august 24th ."
6,they sell,"shares sold average price 182.20 total transaction 1,311,840.00 ."
7,they sell,"also cfo kevin p. shea sold 2,000 shares stock transaction occurred friday august 3rd ."
8,they sell,"shares sold average price 179.85 total transaction 359,700.00 ."
9,they buy,argus increased price target avalonbay communities 196.00 gave company buy rating research note wednesday august 15th .
10,they buy,mizuho reissued buy rating issued 212.00 price target shares avalonbay communities research note monday august 6th .
11,they sell,valuengine upgraded shares avalonbay communities sell rating hold rating research report thursday august 2nd .
12,they buy,finally stifel nicolaus upped price objective shares avalonbay communities 180.00 195.00 gave company buy rating research report thursday august 2nd .
13,they sell,one research analyst rated stock sell rating fourteen assigned hold rating eight assigned buy rating stock .
14,they sell,"avalonbay communities news cfo kevin p. shea sold 2,000 shares stock transaction dated friday august 3rd ."
15,they sell,"stock sold average price 179.85 total transaction 359,700.00 ."
16,they sell,"also coo sean j. breslin sold 7,200 shares stock transaction dated friday august 24th ."
17,they sell,"stock sold average price 182.20 total value 1,311,840.00 ."
18,they sell,valuengine raised avalonbay communities sell rating hold rating research note thursday august 2nd .
19,they buy,stifel nicolaus boosted price target avalonbay communities 180.00 195.00 gave company buy rating research note thursday august 2nd .
20,they buy,mizuho reaffirmed buy rating issued 212.00 price target shares avalonbay communities research note monday august 6th .
21,they sell,zelman associates downgraded avalonbay communities hold rating sell rating research note monday august 6th .
22,they sell,one research analyst rated stock sell rating fourteen given hold rating eight assigned buy rating company stock .
23,they sell,"avalonbay communities news coo sean j. breslin sold 7,200 shares business stock transaction dated friday august 24th ."
24,they sell,"stock sold average price 182.20 total transaction 1,311,840.00 ."
25,they sell,"also cfo kevin p. shea sold 2,000 shares business stock transaction dated friday august 3rd ."
26,they sell,"stock sold average price 179.85 total value 359,700.00 ."
