,assoc,values
0,they sell,1 analysts 20 wall street brokerage firms rate ventas inc. nyse vtr buy 4 see sell .
1,they buy,getting trading period increased 200 days stock price seen 50.86 average .
2,they buy,average analysts currently hold recommendation mean rating 3.22. comparison average recommendation month ago hold average rating 3.22. similarly average rating observed 2 months ago hold mean numerical rating 3.25 average rating observed 3 months ago moderate buy mean numerical rating 3.44 .
