,assoc,values
0,they buy,firm currently buy rating oil gas company stock .
1,they buy,tudor pickering upgraded marathon petroleum hold rating buy rating report thursday october 11th .
2,they buy,zacks investment research upgraded shares marathon petroleum hold rating buy rating set 94.00 target price company research report tuesday october 9th .
3,they buy,issued overweight rating 125.00 target price company .
4,they buy,issued conviction-buy rating company .
5,they buy,finally citigroup increased price target shares marathon petroleum 95.00 100.00 gave stock buy rating research note friday september 7th .
6,they buy,three analysts rated stock hold rating fifteen assigned buy rating one assigned strong buy rating stock .
7,they buy,stock presently consensus rating buy average price target 92.38 .
8,they sell,number large investors recently bought sold shares mpc .
9,they buy,zacks investment research cut marathon petroleum buy rating hold rating report tuesday august 21st .
10,they buy,issued buy rating 95.00 price objective company .
11,they buy,jpmorgan chase co. increased price objective marathon petroleum 98.00 102.00 gave stock overweight rating report friday july 27th .
12,they buy,wells fargo co reiterated buy rating shares marathon petroleum report monday august 27th .
13,they buy,issued conviction-buy rating company .
14,they buy,three analysts rated stock hold rating fifteen issued buy rating one issued strong buy rating stock .
15,they buy,stock presently consensus rating buy consensus price target 92.38 .
16,they buy,"legacy financial advisors inc. bought new position shares marathon petroleum 2nd quarter valued 113,000 ."
17,they buy,zacks investment research upgraded marathon petroleum hold rating buy rating set 78.00 target price company report sunday july 15th .
18,they buy,morgan stanley set 110.00 target price marathon petroleum gave company buy rating report friday october 12th .
19,they buy,jpmorgan chase co. increased price objective marathon petroleum 98.00 102.00 gave stock overweight rating report friday july 27th .
20,they buy,tudor pickering upgraded marathon petroleum hold rating buy rating report thursday october 11th .
21,they buy,issued buy rating 95.00 price objective company .
22,they buy,three equities research analysts rated stock hold rating fifteen assigned buy rating one assigned strong buy rating company stock .
23,they buy,stock presently consensus rating buy consensus target price 92.38 .
24,they buy,advisors asset management inc. 7.29 million holdings bank america corp nyse bac american financial network advisory services llc raises position deere company nyse de tudor pickering upgraded shares marathon petroleum nyse mpc hold rating buy rating report released thursday october 11th marketbeat.com reports .
25,they buy,zacks investment research raised shares marathon petroleum hold rating buy rating set 78.00 price target stock research report sunday july 15th .
26,they buy,royal bank canada reissued buy rating issued 87.00 price target shares marathon petroleum research report friday july 27th .
27,they buy,jpmorgan chase co. boosted price target shares marathon petroleum 98.00 102.00 gave company overweight rating research report friday july 27th .
28,they buy,set buy rating 95.00 price objective company .
29,they buy,finally wells fargo co reissued buy rating shares marathon petroleum research note monday august 27th .
30,they buy,three investment analysts rated stock hold rating fifteen issued buy rating one assigned strong buy rating company .
31,they buy,stock presently average rating buy average price target 92.38 .
32,they buy,"cozad asset management inc. bought new stake marathon petroleum 2nd quarter valued 694,000 ."
33,they buy,"finally zweig dimenna associates llc bought new stake marathon petroleum 3rd quarter valued 17,824,000 ."
34,they buy,"see also nasdaqviewcount type=a id=1097435 keyword marathon petroleum nyse mpc mpc oils/energy,56585a10 upgrade tudor pickeringratings:4,17 nyse mpcrefreshed2 receive news ratings marathon petroleum daily enter email address receive concise daily summary latest news analysts ratings marathon petroleum related companies marketbeat.com free daily email newsletter ."
35,they buy,zacks investment research raised shares marathon petroleum hold rating buy rating set 78.00 price target company report sunday july 15th .
36,they buy,morgan stanley set 110.00 price target shares marathon petroleum gave company buy rating report friday october 12th .
37,they buy,jpmorgan chase co. upped price target shares marathon petroleum 98.00 102.00 gave company overweight rating report friday july 27th .
38,they buy,tudor pickering raised shares marathon petroleum hold rating buy rating report thursday october 11th .
39,they buy,set buy rating 95.00 price objective company .
40,they buy,three analysts rated stock hold rating fifteen issued buy rating one issued strong buy rating stock .
41,they buy,marathon petroleum currently consensus rating buy consensus target price 92.38 .
42,they buy,firm set overweight rating 125.00 price target oil gas company stock .
43,they buy,wells fargo co restated buy rating shares marathon petroleum research note monday august 27th .
44,they buy,zacks investment research downgraded marathon petroleum buy rating hold rating research note tuesday september 11th .
45,they buy,citigroup boosted price target marathon petroleum 95.00 100.00 gave stock buy rating research report friday september 7th .
46,they buy,set conviction-buy rating company .
47,they buy,set buy rating 95.00 price target company .
48,they buy,three research analysts rated stock hold rating fifteen issued buy rating one assigned strong buy rating company stock .
49,they buy,marathon petroleum consensus rating buy consensus price target 92.38 .
50,they sell,"tower research capital llc trc takes 106,000 position neogen co. neog bank mtb rating lowered sell zacks investment research northstar group inc. acquired new stake marathon petroleum corp nyse mpc third quarter according recent form 13f filing securities exchange commission sec ."
51,they buy,zacks investment research raised marathon petroleum hold rating buy rating set 94.00 target price stock report tuesday october 9th .
52,they buy,wells fargo co reaffirmed buy rating shares marathon petroleum report monday august 27th .
53,they buy,set overweight rating 125.00 target price stock .
54,they buy,citigroup raised target price marathon petroleum 95.00 100.00 gave stock buy rating report friday september 7th .
55,they buy,set conviction-buy rating stock .
56,they buy,three equities research analysts rated stock hold rating fifteen issued buy rating one assigned strong buy rating company .
57,they buy,marathon petroleum currently average rating buy average target price 92.38 .
58,they sell,"sandy spring bancorp sasr downgraded sell bidaskclub uniqure nasdaq qure given 58.00 price target cantor fitzgerald analysts kelley thomas m. sr. vice president marketing sold 24,818 shares marathon petroleum corporation nyse mpc exchange happened may 30th 2018. stock sold average price 79.47 per share amounting transaction worth 1,972,197 ."
59,they sell,"additionally sr. vice president marketing kelley thomas m. sold 20,000 shares stock transaction took place march 13th 2018. stock sold average price 69.77 per share total exchange amounting 1,395,400 ."
60,they sell,according composite indicator trendspotter rated tcf stock sell .
61,they sell,"short-term tcf financial corporation tcf 20-day average volume 1,490,605 shares short-term indicators sets tcf stock 80 sell average basis ."
62,they sell,"medium-term tcf stock 50-day average volume 1,215,000 shares medium-term indicators gave average rating 100 sell long-term period fb stock 100-day average volume 1,325,784 shares ."
63,they sell,average long-term indicators rated stock 100 sell .
64,they sell,overall picture short medium long-term indicators sets tcf stock 96 sell average basis .
