,assoc,values
0,they sell,analyses consensus rating score stands 2.5. next one year period average individual price target estimates referred covering sell-side analysts 98.69 .
1,they sell,company spent 8.92 billion trying sell products last quarter result yielding gross income 8.52 billion .
2,they sell,"related news president global hair beauty keith r. alexandra sold 2,476 shares company stock transaction recorded february 28th 2019. sale performed average price 98.57 total value 244,063. sale deal closes president global hair beauty keith r. alexandra sold 551 shares company stock valued 54,313. also chief legal officer secy majoras deborah p sold 2,311 shares company stock deal recorded february 28th 2019. shares sold average price 98.57 per share total market value 44,053. following completion acquisition vice chairman cfo holds 2,765 shares company stock valued 272,550. last 6 months insiders changed ownership shares company stock 0.10 ."
3,they buy,6 24 analysts covering stock rated buy 14 maintained hold recommendation procter gamble company stock .
4,they sell,0 analysts assigned sell rating pg stock .
5,they sell,analysts assigned mean rating 2.50 1.0 strong buy 5.0 sell .
6,they buy,research note published april 8th 2019 wells fargo upgrade shares pg 115 .
7,they buy,rating scale 1 means strong buy 2.0 indicated buy .
8,they sell,4.0 sell signals .
9,they sell,however 5.0 strong sell signal .
10,they buy,roa ratio helps investor know profit company relative total invested assets .
11,they buy,investment would net gain analysts return costs increased .
