,assoc,values
0,they sell,large investors also bought sold shares company .
1,they buy,jefferies financial group reissued buy rating shares bank america research note tuesday january 8th .
2,they buy,zacks investment research lowered bank america buy rating hold rating research report tuesday march 19th .
3,they buy,finally ubs group raised bank america neutral rating buy rating set 32.00 target price company research report tuesday january 8th .
4,they sell,one research analyst rated stock sell rating nine issued hold rating nine given buy rating company stock .
5,they buy,bank new york mellon corp bk stake raised covington capital management considering key technical indicators 48 buy signal occurred bank america corporation nyse bac .
6,they sell,stock also flashing sell barchart trendspotter trading system .
7,they buy,traders hoping speculate bac short-term trajectory know short terms indicators stock averaged 40 buy average daily trading volume past 20 days 63896590 shares .
8,they buy,bac stock overall 0.75 buy signal considering medium term indicators 50-day average daily volume remained almost 57970270 shares .
9,they buy,also worth noting stock whose average daily volume 100 days prior writing wasshares 67 buy basis long term indicators .
10,they buy,analysts hsbc securities assumed coverage ofbank america corporation nyse bac hold recommendation according opinion released april 04. ubs analysts bumped recommendation bac stock neutral tobuy separate flash note investors january 09. analysts edward jones issued upgrade hold tobuy stock research note dated back january 09 .
11,they sell,average consensus rating company 2 scale 5 equates unanimous sell rating .
12,they buy,short mean analyst recommendations calling stock buy .
13,they buy,zacks investment research lowered bank america buy rating hold rating report tuesday march 19th .
14,they sell,valuengine cut bank america hold rating sell rating research report friday march 1st .
15,they buy,finally ubs group set 33.00 price objective bank america gave stock buy rating report saturday february 2nd .
16,they sell,one equities research analyst rated stock sell rating nine assigned hold rating nine issued buy rating company stock .
