,highs,lows
0,45.1,44.51
1,44.76,44.38
2,44.71,44.19
3,44.82,44.34
4,44.97,44.49
5,45.1,44.61
6,45.32,44.9
7,45.01,44.29
8,45.68,44.85
9,45.73,45.41
10,46.03,45.46
11,46.33,45.44
12,46.46,46.06
13,46.52,46.06
