,assoc,values
0,they sell,"abbott laboratories nyse abt insider roger bird sold 9,188 shares company stock transaction dated wednesday march 13th ."
1,they sell,"stock sold average price 79.06 total value 726,403.28 ."
2,they buy,goldman sachs group raised abbott laboratories neutral rating buy rating set 74.10 price objective stock research note sunday december 9th .
3,they sell,citigroup downgraded abbott laboratories neutral rating sell rating decreased price objective company 72.00 68.00 report wednesday january 2nd .
4,they buy,morgan stanley upped price objective shares abbott laboratories 82.00 85.00 gave stock overweight rating report wednesday january 2nd .
5,they buy,finally gabelli reaffirmed buy rating shares abbott laboratories research report wednesday january 2nd .
6,they sell,one equities research analyst rated stock sell rating three assigned hold rating fifteen given buy rating company stock .
7,they buy,abbott laboratories presently average rating buy average price target 80.18 .
8,they buy,vanguard group inc. increased position abbott laboratories 1.6 third quarter .
9,they buy,goldman sachs group raised abbott laboratories neutral rating buy rating set 74.10 price objective company research note sunday december 9th .
10,they buy,gabelli restated buy rating shares abbott laboratories report wednesday january 2nd .
11,they buy,bank america reissued buy rating issued 81.00 price target previously 73.00 shares abbott laboratories research note thursday february 7th .
12,they buy,zacks investment research raised shares abbott laboratories hold rating buy rating set 80.00 target price company research report monday january 28th .
13,they buy,finally wells fargo co reiterated buy rating shares abbott laboratories research report thursday march 14th .
14,they sell,one analyst rated stock sell rating three given hold rating fifteen issued buy rating stock .
15,they buy,stock presently consensus rating buy consensus price target 80.18 .
16,they sell,zacks investment research eps averages average based survey sell-side research firms provide coverage abbott laboratories .
17,they sell,"abbott laboratories news insider jaime contreras sold 177,457 shares stock transaction dated wednesday january 30th ."
18,they sell,"shares sold average price 70.00 total transaction 12,421,990.00 ."
19,they sell,"insiders sold total 280,021 shares company stock worth 20,485,856 last ninety days ."
20,they buy,martingale asset management l p increased position abbott laboratories 24.6 3rd quarter .
21,they buy,"finally hirtle callaghan co llc bought new position abbott laboratories 4th quarter worth 47,000 ."
22,they buy,goldman sachs group raised abbott laboratories neutral rating buy rating set 74.10 target price company report sunday december 9th .
23,they buy,gabelli reissued buy rating shares abbott laboratories report wednesday january 2nd .
24,they buy,bank america restated buy rating issued 81.00 price objective 73.00 shares abbott laboratories research report thursday february 7th .
25,they buy,zacks investment research raised shares abbott laboratories hold rating buy rating set 80.00 price objective company research note monday january 28th .
26,they buy,finally wells fargo co reaffirmed buy rating shares abbott laboratories report thursday march 14th .
27,they sell,one investment analyst rated stock sell rating three issued hold rating fifteen issued buy rating company .
28,they buy,abbott laboratories presently average rating buy consensus price target 80.18 .
29,they sell,"news insider jaime contreras sold 177,457 shares business stock transaction occurred wednesday january 30th ."
30,they sell,"shares sold average price 70.00 total value 12,421,990.00 ."
31,they sell,"also cfo brian b. yoor sold 2,246 shares business stock transaction occurred friday march 1st ."
32,they sell,"stock sold average price 78.00 total transaction 175,188.00 ."
33,they sell,"last ninety days insiders sold 280,021 shares company stock valued 20,485,856 ."
34,they buy,unitedhealth group inc unh holdings increased marvin palmer associates inc .
35,they buy,"1 north wealth services llc bought new stake shares abbott laboratories 4th quarter valued approximately 33,000 ."
36,they buy,"finally hirtle callaghan co llc bought new position shares abbott laboratories 4th quarter valued approximately 47,000 ."
37,they sell,"news cfo brian b. yoor sold 2,246 shares firm stock transaction occurred friday march 1st ."
38,they sell,"stock sold average price 78.00 total value 175,188.00 ."
39,they sell,"last quarter insiders sold 280,021 shares company stock worth 20,485,856 ."
40,they buy,morgan stanley raised price target abbott laboratories 82.00 85.00 gave stock overweight rating research report wednesday january 2nd .
41,they sell,citigroup cut shares abbott laboratories neutral rating sell rating dropped price target stock 72.00 68.00 research note wednesday january 2nd .
42,they buy,zacks investment research raised shares abbott laboratories hold rating buy rating set 80.00 price objective company research note monday january 28th .
43,they buy,bank america reaffirmed buy rating set 81.00 target price previously 73.00 shares abbott laboratories research note thursday february 7th .
44,they sell,one investment analyst rated stock sell rating three assigned hold rating fifteen given buy rating company stock .
45,they buy,stock presently consensus rating buy average price target 80.18 .
46,they buy,"karp capital management corp bought new position shares abbott laboratories fourth quarter worth 62,000 ."
47,they buy,"copperwynd financial llc bought new position abbott laboratories 4th quarter worth approximately 2,036,000 ."
48,they buy,goldman sachs group raised shares abbott laboratories neutral rating buy rating set 74.10 price objective company report sunday december 9th .
49,they sell,citigroup lowered shares abbott laboratories neutral rating sell rating cut target price company 72.00 68.00 report wednesday january 2nd .
50,they buy,morgan stanley upped price target shares abbott laboratories 82.00 85.00 gave company overweight rating research note wednesday january 2nd .
51,they buy,finally gabelli reissued buy rating shares abbott laboratories research note wednesday january 2nd .
52,they sell,one research analyst rated stock sell rating three assigned hold rating fifteen given buy rating stock .
53,they buy,abbott laboratories average rating buy average price target 80.18 .
54,they sell,average sell-side analysts predict abbott laboratories post 3.2 earnings per share current fiscal year .
55,they sell,"news insider jaime contreras sold 177,457 shares abbott laboratories stock transaction occurred wednesday january 30th ."
56,they sell,"shares sold average price 70.00 total transaction 12,421,990.00 ."
57,they sell,"last three months insiders sold 280,021 shares company stock valued 20,485,856 ."
58,they buy,"oregon public employees retirement fund increased stake shares abbott laboratories 7,559.6 fourth quarter ."
59,they sell,average sell-side analysts forecast abbott laboratories post 3.2 earnings per share current fiscal year .
60,they sell,"news insider jaime contreras sold 177,457 shares company stock transaction dated wednesday january 30th ."
