,assoc,values
0,they buy,"lpl financial llc bought new stake discovery inc series c first quarter valued 327,000 ."
1,they buy,bidaskclub upgraded shares discovery inc series c buy rating strong-buy rating report saturday september 15th .
2,they buy,zacks investment research upgraded discovery inc series c hold rating buy rating set 31.00 price target stock report monday october 29th .
3,they sell,finally valuengine raised discovery inc series c sell rating hold rating research report tuesday july 10th .
4,they sell,hedge funds also bought sold shares company .
5,they buy,"piedmont investment advisors llc bought new position shares discovery inc series c 2nd quarter valued approximately 102,000 ."
6,they buy,"next financial group inc bought new position shares discovery inc series c 3rd quarter valued approximately 106,000 ."
7,they buy,"finally wealthstreet investment advisors llc bought new position shares discovery inc series c 3rd quarter valued approximately 201,000 ."
8,they sell,valuengine upgraded discovery inc series c sell rating hold rating research report tuesday july 10th .
9,they buy,zacks investment research upgraded discovery inc series c hold rating buy rating set 31.00 target price company research report monday october 29th .
10,they buy,finally bidaskclub downgraded discovery inc series c strong-buy rating buy rating research report thursday august 30th .
11,they sell,sell-side analysts predict discovery inc series c post 2.85 earnings per share current fiscal year .
12,they buy,"piedmont investment advisors llc bought new stake shares discovery inc series c 2nd quarter worth approximately 102,000 ."
13,they buy,"next financial group inc bought new stake shares discovery inc series c 3rd quarter worth approximately 106,000 ."
14,they buy,"finally commerzbank aktiengesellschaft fi bought new stake shares discovery inc series c 2nd quarter worth approximately 203,000 ."
15,they buy,zacks investment research upgraded discovery inc series c hold rating buy rating set 31.00 price target stock research report monday october 29th .
16,they buy,bidaskclub upgraded discovery inc series c buy rating strong-buy rating research report thursday august 23rd .
17,they sell,finally valuengine upgraded discovery inc series c sell rating hold rating research report thursday august 9th .
18,they sell,based 1-5 numeric scale rating scale 1.0 strong buy 2.0 buy 3.0 hold 4.0 sell 5.0 strong sell .
19,they sell,2.88 rally might tempting investor buy point fact would prove good idea sell-side analysts think almost 33.42 gain yet come shareholders .
20,they sell,turn street general positives still outweigh negatives see discovery inc. disck sell 3 analyst consensus rating .
21,they buy,current time stock 14 buy 11 hold ratings .
22,they sell,google_ad_client ca-pub-0703139142419429 google_ad_slot 5621244306 google_ad_width 336 google_ad_height 280 c hedge funds institutional investors also recently bought sold shares company .
23,they sell,valuengine raised shares discovery inc series c sell rating hold rating research note thursday august 9th .
24,they buy,bidaskclub lowered shares discovery inc series c strong-buy rating buy rating research note thursday july 19th .
25,they buy,finally zacks investment research raised shares discovery inc series c hold rating buy rating set 31.00 target price company research note monday october 29th .
26,they buy,bidaskclub lowered discovery inc series c strong-buy rating buy rating research note thursday august 30th .
27,they buy,zacks investment research raised discovery inc series c hold rating buy rating set 31.00 price target stock research note monday october 29th .
28,they sell,finally valuengine raised discovery inc series c sell rating hold rating research note thursday august 9th .
29,they buy,zacks investment research raised shares discovery inc series c hold rating buy rating set 31.00 price target stock report monday october 29th .
30,they buy,bidaskclub raised shares discovery inc series c buy rating strong-buy rating report thursday august 23rd .
31,they sell,finally valuengine raised shares discovery inc series c sell rating hold rating report thursday august 9th .
32,they buy,"texas permanent school fund sells 2,055 shares rayonier inc. ryn matson inc matx shares bought tcw group inc ."
33,they buy,analysts topeka capital markets cut rating shares discovery inc. nasdaq disck buy hold opinion released april 25 .
34,they sell,discover networks int l sold 93.39 thousand shares price per share 31.12 .
35,they sell,wehner kurt performs chief accounting officer job sold 7.23 thousand shares 217.28 thousand .
36,they sell,average consensus rating company 3 scale 5 equates unanimous sell rating .
37,they buy,ky skyscr adsbygoogle window.adsbygoogle .push posted mary kom nov 1st 2018 conning inc. bought new stake discovery inc series c nasdaq disck third quarter according company recent form 13f filing sec .
38,they buy,"fund bought 7,783 shares company stock valued approximately 230,000 ."
39,they buy,"lpl financial llc bought new position discovery inc series c 1st quarter valued approximately 327,000 ."
40,they sell,valuengine downgraded discovery inc series c hold rating sell rating report wednesday july 4th .
41,they buy,bidaskclub downgraded discovery inc series c strong-buy rating buy rating report thursday july 19th .
42,they buy,finally zacks investment research upgraded discovery inc series c hold rating buy rating set 31.00 target price stock report monday .
