,assoc,values
0,they buy,global payments nyse gpn downgraded zacks investment research buy rating hold rating research note issued tuesday october 9th .
1,they buy,buckingham research boosted price target global payments 120.00 135.00 gave company buy rating report friday august 3rd .
2,they buy,deutsche bank boosted price target global payments 140.00 gave company buy rating report friday september 14th .
3,they sell,one analyst rated stock sell rating five given hold rating twenty-one issued buy rating stock .
4,they buy,stock currently average rating buy consensus price target 119.83 .
5,they sell,"news director robert h. b. baldwin jr. sold 3,125 shares business stock transaction occurred tuesday october 16th ."
6,they sell,"stock sold average price 116.07 total value 362,718.75 ."
7,they sell,also director alan m. silberstein sold 600 shares business stock transaction occurred monday august 20th .
8,they sell,"stock sold average price 119.01 total value 71,406.00 ."
9,they sell,"last three months insiders sold 92,955 shares company stock worth 11,773,553 ."
10,they buy,"true private wealth advisors bought new position global payments 3rd quarter valued approximately 112,000 ."
11,they buy,"fort l.p. bought new position global payments 2nd quarter valued approximately 118,000 ."
12,they buy,"first hawaiian bank bought new position global payments 3rd quarter valued approximately 124,000 ."
13,they buy,"signet financial management llc bought new position global payments 2nd quarter valued approximately 134,000 ."
14,they sell,"get free copy zacks research report global payments gpn information research offerings zacks investment research visit zacks.com keyword global payments nyse gpn gpn business service,37940x10 downgrade zacks investment researchratings:4,25 nyse gpnrefreshed2 receive news ratings global payments daily enter email address receive concise daily summary latest news analysts ratings global payments related companies marketbeat.com free daily email newsletter ."
15,they sell,zacks investment research lowers lazard laz sell global payments nyse gpn downgraded zacks investment research buy rating hold rating research report issued tuesday october 9th .
16,they buy,valuengine upgraded global payments hold rating buy rating research report friday august 3rd .
17,they buy,deutsche bank lifted price target global payments 140.00 gave company buy rating research report friday september 14th .
18,they sell,finally nomura reaffirmed sell rating set 97.00 target price shares global payments report monday august 6th .
19,they sell,one analyst rated stock sell rating five given hold rating twenty-one given buy rating company .
20,they buy,global payments presently consensus rating buy average price target 119.83 .
21,they sell,"news director robert h. b. baldwin jr. sold 4,125 shares company stock transaction dated friday september 14th ."
22,they sell,"stock sold average price 128.76 total value 531,135.00 ."
23,they sell,"also director robert h. b. baldwin jr. sold 3,125 shares company stock transaction dated tuesday october 16th ."
24,they sell,"stock sold average price 116.07 total value 362,718.75 ."
25,they sell,"last three months insiders sold 92,955 shares company stock valued 11,773,553 ."
26,they sell,"get free copy zacks research report global payments gpn information research offerings zacks investment research visit zacks.com keyword global payments nyse gpn gpn business service,37940x10 downgrade zacks investment researchratings:4,25 nyse gpnrefreshed2 receive news ratings global payments daily enter email address receive concise daily summary latest news analysts ratings global payments related companies marketbeat.com free daily email newsletter ."
27,they buy,morgan stanley increased price objective shares global payments 119.00 124.00 gave stock 117.08 rating report thursday july 19th .
28,they buy,robert w. baird reiterated buy rating set 136.00 price objective shares global payments report friday july 20th .
29,they buy,zacks investment research upgraded shares global payments hold rating buy rating set 124.00 price objective stock report wednesday june 27th .
30,they buy,guggenheim reiterated buy rating set 123.00 price objective shares global payments report tuesday july 24th .
31,they buy,finally citigroup increased price objective shares global payments 125.00 136.00 gave stock buy rating report friday july 13th .
32,they sell,one analyst rated stock sell rating five issued hold rating twenty-one assigned buy rating company .
33,they buy,stock presently average rating buy average target price 119.83 .
34,they sell,"global payments news director robert h. b. baldwin jr. sold 4,125 shares stock transaction occurred friday september 14th ."
35,they sell,"shares sold average price 128.76 total value 531,135.00 ."
36,they sell,"also director robert h. b. baldwin jr. sold 3,125 shares stock transaction occurred tuesday october 16th ."
37,they sell,"shares sold average price 116.07 total transaction 362,718.75 ."
38,they sell,"last three months insiders sold 92,955 shares company stock valued 11,773,553 ."
39,they sell,several hedge funds institutional investors also recently bought sold shares company .
40,they buy,buckingham research raised price objective shares global payments 120.00 135.00 gave company buy rating research note friday august 3rd .
41,they buy,citigroup lifted price target shares global payments 125.00 136.00 gave stock buy rating research report friday july 13th .
42,they buy,finally guggenheim reissued buy rating set 123.00 price target shares global payments research report tuesday july 24th .
43,they sell,one investment analyst rated stock sell rating five given hold rating twenty-one issued buy rating company .
44,they buy,stock average rating buy consensus target price 119.83 .
45,they sell,"news director robert h. b. baldwin jr. sold 3,000 shares business stock transaction dated tuesday august 14th ."
46,they sell,"shares sold average price 117.93 total transaction 353,790.00 ."
47,they sell,also director alan m. silberstein sold 600 shares business stock transaction dated monday august 20th .
48,they sell,"stock sold average price 119.01 total transaction 71,406.00 ."
49,they sell,"insiders sold total 92,955 shares company stock worth 11,773,553 last quarter ."
50,they buy,zacks investment research raised shares global payments hold rating buy rating set 124.00 target price company research note wednesday june 27th .
51,they buy,valuengine downgraded shares global payments buy rating hold rating research note monday july 2nd .
52,they buy,citigroup boosted target price shares global payments 125.00 136.00 gave company buy rating research note friday july 13th .
53,they sell,one equities research analyst rated stock sell rating five assigned hold rating twenty-one given buy rating company stock .
54,they buy,company currently average rating buy average target price 119.83 .
55,they sell,"news director robert h. b. baldwin jr. sold 3,000 shares business stock transaction dated tuesday august 14th ."
56,they sell,"stock sold average price 117.93 total transaction 353,790.00 ."
57,they sell,"also director robert h. b. baldwin jr. sold 3,125 shares business stock transaction dated tuesday october 16th ."
58,they sell,"stock sold average price 116.07 total value 362,718.75 ."
59,they sell,"insiders sold total 92,955 shares company stock valued 11,773,553 last 90 days ."
60,they sell,zacks investment research cut shares global payments hold rating sell rating research note monday july 23rd .
61,they buy,buckingham research lifted target price shares global payments 120.00 135.00 gave stock buy rating research note friday august 3rd .
62,they buy,finally deutsche bank lifted target price shares global payments 140.00 gave stock buy rating research note friday september 14th .
63,they sell,one analyst rated stock sell rating five assigned hold rating twenty-one assigned buy rating company .
64,they buy,global payments presently average rating buy consensus target price 119.83 .
65,they sell,related news director alan m. silberstein sold 600 shares business stock transaction monday august 20th .
66,they sell,"shares sold average price 119.01 total value 71,406.00 ."
67,they sell,"also director robert h. b. baldwin jr. sold 3,125 shares business stock transaction tuesday october 16th ."
68,they sell,"shares sold average price 116.07 total transaction 362,718.75 ."
69,they sell,"last 90 days insiders sold 92,955 shares company stock valued 11,773,553 ."
70,they buy,ishares 10+ year investment grade corporate bond etf bats llqd raises dividend 0.17 per share investors sentiment increased 1.11 2018 q2 .
71,they sell,increased 25 investors sold global payments inc. shares 149 reduced holdings .
72,they buy,jennison limited liability com invested 0.19 portfolio global payments inc. nyse gpn .
73,they buy,chase counsel corporation invested 2.79 portfolio global payments inc. nyse gpn .
74,they buy,national pension service invested 0.09 global payments inc. nyse gpn .
75,they buy,northern invested 0.05 1.78 million shares .
76,they sell,"600 shares sold jacobs william worth 70,758 monday july 16. wednesday july 18 insider silberstein alan sold 70,740 ."
77,they sell,"shares 709,060 sold baldwin robert h b jr tuesday june 12 ."
78,they sell,"9,212 global payments inc. nyse gpn shares value 1.18m sold green david lawrence ."
79,they sell,"shares 7.38m sold bready cameron wednesday september 12. tuesday september 4 sacchi guido francesco sold 1.90 million worth global payments inc. nyse gpn 15,156 shares ."
80,they buy,stock increased 1.38 1.5266 last trading session reaching 111.9166 .
81,they sell,among 7 analysts covering global payments nyse gpn 4 buy rating 0 sell 3 hold .
82,they buy,stock global payments inc. nyse gpn earned equal-weight rating morgan stanley thursday july 19. rating downgraded goldman sachs neutral monday june 18. citigroup maintained buy rating 136 target friday july 13 report .
83,they buy,firm buy rating given friday august 3 buckingham research .
