,assoc,values
0,they sell,number institutional investors also bought sold shares business .
1,they sell,"related news vp loretta v. cangialosi sold 26,814 shares pfizer stock transaction occurred wednesday august 1st ."
2,they sell,"stock sold average price 40.16 total transaction 1,076,850.24 ."
3,they buy,"shares bought average price 18.00 per share total value 1,000,008.00 ."
4,they sell,"last quarter insiders sold 234,096 shares company stock valued 9,366,617 ."
5,they buy,morgan stanley set 45.00 price target pfizer gave stock buy rating report thursday september 13th .
6,they buy,bmo capital markets reissued buy rating set 44.00 price target shares pfizer report monday august 27th .
7,they sell,two research analysts rated stock sell rating fourteen issued hold rating nine issued buy rating company stock .
8,they buy,cornerstone advisory llp increases stake walt disney co nyse dis waste connections inc wcn receives consensus rating buy brokerages investors sentiment decreased 0.78 2018 q2 .
9,they sell,dived 52 investors sold pfizer inc. shares 754 reduced holdings .
10,they buy,"horizon kinetics ltd co invested 0.07 70,013 shares ."
11,they buy,cetera advsr llc invested 0.22 portfolio pfizer inc. nyse pfe .
12,they buy,troy asset limited 0.06 invested pfizer inc. nyse pfe .
13,they buy,cincinnati corp invested 0.61 pfizer inc. nyse pfe .
14,they sell,"cornwell w sold 190,117 worth stock ."
15,they sell,"19,000 shares valued 692,582 sold olson laurie j wednesday june 6. shares 1.50m sold susman sally ."
16,they buy,stock increased 2.98 1.27 last trading session reaching 43.75 .
17,they sell,among 6 analysts covering pfizer nyse pfe 4 buy rating 0 sell 2 hold .
18,they buy,stock pfizer inc. nyse pfe earned equal-weight rating barclays capital thursday august 23. stock pfizer inc. nyse pfe overweight rating given thursday august 23 morgan stanley .
19,they buy,bank america maintained pfizer inc. nyse pfe rating wednesday august 1. bank america buy rating 43 target .
20,they buy,pfizer nyse pfe stock buy rating restated equities research analysts cantor fitzgerald research note issued wednesday october 17th .
21,they buy,reiterate overweight rating raise 12-month pt pfe shares 53 45 .
22,they buy,jpmorgan chase co. reissued buy rating shares pfizer research report tuesday july 31st .
23,they buy,zacks investment research lowered shares pfizer buy rating hold rating research report monday august 6th .
24,they buy,deutsche bank set 45.00 price target shares pfizer gave stock buy rating research report tuesday august 21st .
25,they sell,two research analysts rated stock sell rating fourteen assigned hold rating nine issued buy rating company stock .
26,they sell,"pfizer news vp loretta v. cangialosi sold 26,814 shares firm stock transaction wednesday august 1st ."
27,they sell,"stock sold average price 40.16 total value 1,076,850.24 ."
28,they sell,"also evp kirsten lund-jurgensen sold 20,942 shares firm stock transaction wednesday august 1st ."
29,they sell,"shares sold average price 40.04 total value 838,517.68 ."
30,they sell,"insiders sold total 234,096 shares company stock worth 9,366,617 last 90 days ."
31,they sell,bidaskclub downgrades covenant transportation group cvti strong sell wipro wit lowered c thestreet pfizer nyse pfe assigned 48.00 target price equities researchers independent research note issued investors thursday october 4th .
32,they buy,cantor fitzgerald set 45.00 target price shares pfizer gave stock buy rating research note monday august 27th .
33,they buy,jpmorgan chase co. reiterated buy rating shares pfizer research note tuesday july 31st .
34,they buy,zacks investment research cut shares pfizer buy rating hold rating research note monday august 6th .
35,they buy,finally deutsche bank set 45.00 target price shares pfizer gave stock buy rating research note tuesday august 21st .
36,they sell,two analysts rated stock sell rating fourteen given hold rating nine issued buy rating company stock .
37,they sell,"pfizer news insider alexander r. mackenzie sold 25,642 shares stock transaction friday august 3rd ."
38,they sell,"shares sold average price 39.51 total transaction 1,013,115.42 ."
39,they sell,"also evp kirsten lund-jurgensen sold 20,942 shares stock transaction wednesday august 1st ."
40,they sell,"shares sold average price 40.04 total transaction 838,517.68 ."
41,they sell,"insiders sold total 234,096 shares company stock valued 9,366,617 last three months ."
42,they buy,"sharechain reaches market cap 166,076.00 sss shield price 7.9 last 7 days xsh starfire investment advisers inc. increased holdings shares pfizer inc. nyse pfe 18.7 second quarter according company recent disclosure sec ."
43,they buy,berkshire asset management llc pa increased holdings pfizer 3.4 1st quarter .
44,they buy,joel isaacson co. llc increased holdings pfizer 7.7 1st quarter .
45,they buy,oppenheimer co. inc. increased holdings pfizer 1.8 1st quarter .
46,they buy,finally putnam fl investment management co. increased holdings pfizer 1.2 1st quarter .
47,they sell,"news insider alexander r. mackenzie sold 25,642 shares pfizer stock transaction dated friday august 3rd ."
48,they sell,"shares sold average price 39.51 total value 1,013,115.42 ."
49,they buy,"also major shareholder pfizer inc bought 55,556 shares company stock transaction dated monday october 15th ."
50,they buy,"stock bought average price 18.00 per share total transaction 1,000,008.00 ."
51,they sell,"last 90 days insiders sold 234,096 shares company stock worth 9,366,617 ."
52,they buy,valuengine raised pfizer hold rating buy rating report tuesday october 9th .
53,they buy,finally cantor fitzgerald set 45.00 target price pfizer gave company buy rating report thursday october 4th .
54,they sell,two analysts rated stock sell rating fourteen issued hold rating nine issued buy rating company .
55,they buy,cantor fitzgerald set 45.00 price objective pfizer gave stock buy rating research note thursday october 4th .
56,they buy,morgan stanley set 45.00 price objective pfizer gave stock buy rating research note wednesday august 29th .
57,they buy,credit suisse group increased price objective pfizer 39.00 40.00 gave stock neutral rating research note wednesday august 1st .
58,they buy,bank america increased price objective pfizer 42.00 43.00 gave stock buy rating research note wednesday august 1st .
