,assoc,values
0,they sell,research note published april 8th 2019 goldman downgrade shares aep 78 .
1,they buy,similarly research note sent march 12th 2019 jp morgan analysts upgrade shares stock overweight set price target 88 .
2,they buy,average analysts currently moderate buy recommendation mean rating 4.29. comparison average recommendation month ago moderate buy average rating 4.29. similarly average rating observed 2 months ago strong buy mean numerical rating 4.43 average rating observed 3 months ago strong buy mean numerical rating 4.54 .
3,they sell,research note published april 8th 2019 goldman downgrade shares aep 78 .
4,they buy,similarly research note sent march 12th 2019 jp morgan analysts upgrade shares stock overweight set price target 88 .
5,they buy,average analysts currently strong buy recommendation mean rating 4.76. comparison average recommendation month ago strong buy average rating 4.84. similarly average rating observed 2 months ago strong buy mean numerical rating 4.81 average rating observed 3 months ago strong buy mean numerical rating 4.93 .
