02/08/2019,2707.88,2692.36,2708.07,2681.83,2707.88
02/07/2019,2706.05,2717.53,2719.32,2687.26,2706.05
02/06/2019,2731.61,2735.05,2738.08,2724.15,2731.61
02/05/2019,2737.70,2728.34,2738.98,2724.03,2737.70
02/04/2019,2724.87,2706.49,2724.99,2698.75,2724.87
02/01/2019,2706.53,2702.32,2716.66,2696.88,2706.53
01/31/2019,2704.10,2685.49,2708.95,2678.65,2704.10
01/30/2019,2681.05,2653.62,2690.44,2648.34,2681.05
01/29/2019,2640.00,2644.89,2650.93,2631.05,2640.00
01/28/2019,2643.85,2644.97,2644.97,2624.06,2643.85
01/25/2019,2664.76,2657.44,2672.38,2657.33,2664.76
01/24/2019,2642.33,2638.84,2647.20,2627.01,2642.33
01/23/2019,2638.70,2643.48,2653.19,2612.86,2638.70
