hpq,0.052,0.427,0.521,12115447,0,1.468543637,0.68302695,0.363466,0.18399416,0.062932227,0.228937729,0.07674779,1.103545711,0,-12.98058252,0.101236199,0.070635469,27.71884984,0.890671743,4.112975391,-3169827.586,9.3,11.31,1.28,2.31,0.0784,0.0866,0,0.0784,0.131,0.893,23.35,22.62,0.49,2.4,0.037913135,1.92,17.22,-23.68,40.9,32,-2,0.09,0.8,1,,
hpe,0.056,0.437,0.507,14973763,310,3.534511075,0.793910071,0.576457011,0.322754293,0.127476882,0.161398964,0.039696593,0.604189428,0,-9.140939597,0.103053356,0.163738441,9.953977646,0.338442921,13.2922252,316400.7658,9.13,10.52,-1.42,2.77,0.0958,0.007,0.113,0.0958,0.097,0,15.77,16.63,0.34,15.4,0.034580991,1.92,17.22,-23.68,40.9,26,-17,0.09,0.8,1,,0.336652406
tif,0.05,0.468,0.482,10062169,830,8.05562579,1.923514539,1.55783818,0.622294967,0.169073917,0.340673958,0.08751177,0.40591651,0,-16.23043478,0.341049681,0.176345644,4.294698433,0.684285107,3.225319927,26945.39901,39.12,24.3,2.53,1.71,0.0975,0.1006,0.1323,0.0975,0.149,0.532,133.96,116.12,0.95,7,0.074592355,2.11,30.69,14.46,16.23,53,-7,0.09,0.8,1,,0.058454545
pvh,0.046,0.285,0.669,7006651,0,7.073044479,0.876469836,0.466577198,0.532762005,0.082188441,0.186146544,0.049602906,0.565726109,0,-6.505376344,0.152633596,0.116504736,10.79497302,0.741969237,78.33606557,13253.36292,18.91,15.15,1.33,0.1,0.07,0.0436,0.1235,0.07,0.164,1.548,151.49,152.52,2.03,3,0.069895144,1.93,34.87,7.18,27.69,29,-8,0.09,0.8,1,,0.60484492
crm,0.063,0.336,0.601,59762807,189638,2.410390645,0.745628449,0.302775313,0.733788935,0.003024672,-6.076862467,0.010215114,0.573491053,0,-0.895941026,0.214401759,0.257650396,4.694726925,0.785422982,0,143476.9741,241.31,56.45,2.4,0,0.0424,0.0134,0.0495,0.0424,0.254,343,145.28,130.34,0.46,3.1,0.071905725,0,0,0,58.66,66,-1,0.09,0.8,1,,8071144.08
sig,0.103,0.402,0.495,17757985,260319,5.481266096,1.708897566,0.081997175,0.395058961,0.10668221,0.239002522,0.082330474,0.529828125,0,-15.89676113,0.19403839,0.101376496,8.1308786,0.59015185,8.972222222,21216.76572,0,13.33,2.07,2.36,-0.0085,0.0589,-0.0197,-0.0085,0.055,0,60.13,49.23,0.14,27.9,-0.052001152,3,0,0,16.23,65,-30,0.09,0.8,1,,72985.21925
avgo,0.074,0.429,0.497,4129426,0,16.23326836,1.714749838,1.00617284,0.600151057,-0.083610272,-0.579945799,-0.034803666,0.562182284,0,-3.364102564,0.121431114,0.257628399,5.27700279,0.788038698,4.76396648,46376.61455,7.86,10.14,0.74,3.19,0.5579,0.0496,0.4184,0.5579,0.197,7.45,223.33,240.11,4.62,1.7,0.042112493,2.24,158.78,-118.8,277.58,38,-18,0.09,0.8,1,,0.520583139
adbe,0.047,0.362,0.591,15281952,1191308,4.515965266,1.989708124,1.69342749,0.859950841,0.245137101,0.185596089,0.09205004,0.415240518,0,-21.20328781,0.417214819,0.375737348,7.172226143,0.907349909,0,123928.338,60.65,34.18,1.62,0,0.2668,0.1138,0.2626,0.2668,0.239,0.771,255.94,238.4,1.65,8.9,0.026042253,1.97,17.71,-0.92,18.63,49,-4,0.09,0.8,1,,0.471555759
azo,0.026,0.436,0.538,666148,0,1.833518182,0.103349025,0.042014191,0.527351153,0.179839439,0.351180051,0.144306714,1.207858404,0,-13.73120652,0.157986777,0.154297668,2.848902325,0.702149221,0,-32133.5422,15.5,13.43,1.36,0,0.1227,0.1446,0,0.1227,0.016,0.106,748.817,678.514,16.75,1.1,0.023834797,2.5,15.66,-386.93,402.6,43,-5,0.09,0.8,1,,8.123986977
nke,0.022,0.427,0.551,22207255,640,4.24899525,1.800511509,1.128790647,0.445764192,0.14224163,0.13221449,0.182295026,0.46657208,0,-55.22093023,0.354404718,0.111965066,8.611180747,0.712688508,3.394527802,627406.199,73.12,27.16,2.62,0.96,0.0531,0.1213,0.174,0.0531,0.128,0.128,81.82,73.77,0.56,18.7,0.050244333,2.05,13.45,-14.24,27.69,70,0,0.09,0.8,1,,0.120818182
