,Date,Open,"

                                High
                                


                                        ""High"" is the highest sales price the stock has achieved during the regular trading hours, the intra-day high.
                                    



","

                                Low
                                


                                        ""Low"" is the lowest sales price the stock has fallen to during the regular trading hours, the intra-day low.
                                    



","

                                Close / Last
                                


                                        ""Close"" is the period at the end of the trading session. Sometimes used to refer to closing price.
                                    



","

                                Volume
                                


                                        ""Volume"" The closing daily official volumes represented graphically for each trading day.
                                    



"
0,"
","
","
","
","
","
"
1,                                    08/10/2018                                ,                                    43.69                                ,                                    43.95                                ,                                    43.58                                ,                                    43.78                                ,"                                    14,151,530                                "
2,                                    08/09/2018                                ,                                    43.89                                ,                                    44.11                                ,                                    43.7                                ,                                    43.78                                ,"                                    14,007,050                                "
3,                                    08/08/2018                                ,                                    43.64                                ,                                    43.96                                ,                                    43.44                                ,                                    43.84                                ,"                                    13,889,140                                "
4,                                    08/07/2018                                ,                                    43.3                                ,                                    43.64                                ,                                    43.235                                ,                                    43.58                                ,"                                    17,569,920                                "
5,                                    08/06/2018                                ,                                    42.73                                ,                                    43.41                                ,                                    42.655                                ,                                    43.3                                ,"                                    13,972,820                                "
6,                                    08/03/2018                                ,                                    42.71                                ,                                    42.875                                ,                                    42.46                                ,                                    42.83                                ,"                                    13,252,090                                "
7,                                    08/02/2018                                ,                                    41.39                                ,                                    42.6                                ,                                    41.2                                ,                                    42.53                                ,"                                    17,833,120                                "
8,                                    08/01/2018                                ,                                    41.99                                ,                                    42.34                                ,                                    41.33                                ,                                    41.86                                ,"                                    21,646,990                                "
9,                                    07/31/2018                                ,                                    42.24                                ,                                    42.62                                ,                                    41.915                                ,                                    42.29                                ,"                                    20,842,710                                "
10,                                    07/30/2018                                ,                                    42.46                                ,                                    42.61                                ,                                    42.08                                ,                                    42.17                                ,"                                    15,148,900                                "
11,                                    07/27/2018                                ,                                    43.26                                ,                                    43.62                                ,                                    42.42                                ,                                    42.57                                ,"                                    22,049,200                                "
12,                                    07/26/2018                                ,                                    43.58                                ,                                    43.8252                                ,                                    43.22                                ,                                    43.53                                ,"                                    22,436,110                                "
13,                                    07/25/2018                                ,                                    42.36                                ,                                    43.22                                ,                                    42.29                                ,                                    43.16                                ,"                                    20,642,120                                "
14,                                    07/24/2018                                ,                                    42.22                                ,                                    42.88                                ,                                    42.07                                ,                                    42.39                                ,"                                    17,493,040                                "
15,                                    07/23/2018                                ,                                    41.92                                ,                                    42.12                                ,                                    41.44                                ,                                    42.06                                ,"                                    14,965,470                                "
16,                                    07/20/2018                                ,                                    42.26                                ,                                    42.365                                ,                                    41.86                                ,                                    42.01                                ,"                                    20,732,010                                "
17,                                    07/19/2018                                ,                                    42.8                                ,                                    43.01                                ,                                    42.22                                ,                                    42.4                                ,"                                    23,925,010                                "
18,                                    07/18/2018                                ,                                    42.24                                ,                                    42.47                                ,                                    42.15                                ,                                    42.21                                ,"                                    20,179,350                                "
19,                                    07/17/2018                                ,                                    42.21                                ,                                    42.51                                ,                                    42.14                                ,                                    42.34                                ,"                                    21,175,890                                "
20,                                    07/16/2018                                ,                                    42.05                                ,                                    42.94                                ,                                    42                                ,                                    42.5                                ,"                                    24,400,160                                "
21,                                    07/13/2018                                ,                                    43.52                                ,                                    43.78                                ,                                    40.94                                ,                                    41.78                                ,"                                    50,815,530                                "
22,                                    07/12/2018                                ,                                    42.76                                ,                                    43.63                                ,                                    42.75                                ,                                    43.58                                ,"                                    17,820,850                                "
23,                                    07/11/2018                                ,                                    42.56                                ,                                    42.755                                ,                                    42.44                                ,                                    42.57                                ,"                                    17,490,400                                "
24,                                    07/10/2018                                ,                                    42.87                                ,                                    43.04                                ,                                    42.71                                ,                                    42.86                                ,"                                    19,717,090                                "
25,                                    07/09/2018                                ,                                    42.75                                ,                                    42.78                                ,                                    42.36                                ,                                    42.67                                ,"                                    22,941,980                                "
26,                                    07/06/2018                                ,                                    42.39                                ,                                    42.875                                ,                                    42.31                                ,                                    42.71                                ,"                                    20,213,540                                "
27,                                    07/05/2018                                ,                                    42.56                                ,                                    42.64                                ,                                    41.96                                ,                                    42.56                                ,"                                    17,438,470                                "
28,                                    07/03/2018                                ,                                    42.936                                ,                                    43.225                                ,                                    42.62                                ,                                    42.67                                ,"                                    13,474,690                                "
29,                                    07/02/2018                                ,                                    42.56                                ,                                    42.83                                ,                                    42.2                                ,                                    42.81                                ,"                                    21,399,550                                "
30,                                    06/29/2018                                ,                                    43.05                                ,                                    43.5                                ,                                    42.97                                ,                                    43.03                                ,"                                    20,521,300                                "
31,                                    06/28/2018                                ,                                    42.33                                ,                                    43.19                                ,                                    42.28                                ,                                    42.94                                ,"                                    22,195,730                                "
32,                                    06/27/2018                                ,                                    42.73                                ,                                    43.15                                ,                                    42.28                                ,                                    42.33                                ,"                                    20,784,590                                "
33,                                    06/26/2018                                ,                                    42.48                                ,                                    43.14                                ,                                    42.39                                ,                                    42.55                                ,"                                    22,143,280                                "
34,                                    06/25/2018                                ,                                    42.69                                ,                                    42.82                                ,                                    41.805                                ,                                    42.29                                ,"                                    28,589,460                                "
35,                                    06/22/2018                                ,                                    43.34                                ,                                    43.45                                ,                                    42.89                                ,                                    43.2                                ,"                                    27,453,340                                "
36,                                    06/21/2018                                ,                                    43.69                                ,                                    43.78                                ,                                    43.06                                ,                                    43.16                                ,"                                    20,877,690                                "
37,                                    06/20/2018                                ,                                    43.95                                ,                                    43.99                                ,                                    43.7                                ,                                    43.74                                ,"                                    21,270,730                                "
38,                                    06/19/2018                                ,                                    43.62                                ,                                    44.02                                ,                                    43.44                                ,                                    43.82                                ,"                                    22,188,320                                "
39,                                    06/18/2018                                ,                                    43.87                                ,                                    44.42                                ,                                    43.39                                ,                                    44.21                                ,"                                    17,624,320                                "
40,                                    06/15/2018                                ,                                    44.36                                ,                                    44.53                                ,                                    43.59                                ,                                    44.25                                ,"                                    49,308,790                                "
41,                                    06/14/2018                                ,                                    44.23                                ,                                    44.81                                ,                                    44.05                                ,                                    44.69                                ,"                                    23,990,460                                "
42,                                    06/13/2018                                ,                                    44.02                                ,                                    44.53                                ,                                    43.84                                ,                                    44.01                                ,"                                    23,679,260                                "
43,                                    06/12/2018                                ,                                    43.68                                ,                                    43.945                                ,                                    43.47                                ,                                    43.94                                ,"                                    17,373,450                                "
44,                                    06/11/2018                                ,                                    43.62                                ,                                    43.92                                ,                                    43.44                                ,                                    43.69                                ,"                                    14,943,020                                "
45,                                    06/08/2018                                ,                                    43.52                                ,                                    43.73                                ,                                    43.31                                ,                                    43.48                                ,"                                    18,784,180                                "
46,                                    06/07/2018                                ,                                    44.24                                ,                                    44.39                                ,                                    43.35                                ,                                    43.65                                ,"                                    19,708,850                                "
47,                                    06/06/2018                                ,                                    43.76                                ,                                    44.31                                ,                                    43.66                                ,                                    44.26                                ,"                                    17,725,200                                "
48,                                    06/05/2018                                ,                                    43.74                                ,                                    43.75                                ,                                    43.39                                ,                                    43.67                                ,"                                    16,704,400                                "
49,                                    06/04/2018                                ,                                    43.5                                ,                                    43.83                                ,                                    43.21                                ,                                    43.58                                ,"                                    18,020,580                                "
50,                                    06/01/2018                                ,                                    42.91                                ,                                    43.69                                ,                                    42.88                                ,                                    43.66                                ,"                                    18,339,430                                "
51,                                    05/31/2018                                ,                                    42.857                                ,                                    43.13                                ,                                    42.61                                ,                                    42.71                                ,"                                    31,415,800                                "
52,                                    05/30/2018                                ,                                    43.08                                ,                                    43.34                                ,                                    42.83                                ,                                    42.85                                ,"                                    22,388,350                                "
53,                                    05/29/2018                                ,                                    42.765                                ,                                    43.16                                ,                                    42.52                                ,                                    42.97                                ,"                                    25,106,260                                "
