,assoc,values
0,they buy,calculations show 200 day moving average 161.07 50 day moving average 162.64. currently apd stock trading 200 day moving average may good opportunity buy check indicators confirm buy signal .
1,they buy,valuengine downgraded shares air products chemicals buy rating hold rating research note monday october 22nd .
2,they buy,zacks investment research downgraded shares air products chemicals strong-buy rating hold rating research note tuesday october 16th .
3,they buy,finally vertical research raised shares air products chemicals hold rating buy rating research note wednesday august 29th .
4,they buy,two research analysts rated stock hold rating eighteen given buy rating stock .
5,they buy,air products chemicals currently average rating buy average target price 188.07 .
6,they buy,"united capital management ks inc. bought new stake shares air products chemicals third quarter valued approximately 629,000 ."
7,they buy,"bridgewater associates lp bought new stake shares air products chemicals second quarter valued approximately 513,000 ."
8,they buy,ghp investment advisors inc. increased position shares air products chemicals 4.1 second quarter .
9,they buy,grandfield dodd llc increased position shares air products chemicals 0.5 second quarter .
10,they buy,finally cadence capital management llc increased position shares air products chemicals 10.2 second quarter .
11,they buy,valuengine raised shares air products chemicals hold rating buy rating report thursday october 4th .
12,they buy,zacks investment research cut shares air products chemicals buy rating hold rating report monday october 1st .
13,they buy,finally vertical research raised shares air products chemicals hold rating buy rating report wednesday august 29th .
14,they buy,two investment analysts rated stock hold rating eighteen assigned buy rating company .
15,they buy,air products chemicals currently average rating buy consensus target price 188.07 .
16,they buy,gnosis reaches market capitalization 21.24 million crypto gno smith shellnut wilson llc adv bought new position shares air products chemicals inc. nyse apd third quarter according recent form 13f filing securities exchange commission sec .
17,they buy,"fund bought 1,540 shares basic materials company stock valued approximately 257,000 ."
18,they sell,institutional investors hedge funds also recently bought sold shares company .
19,they buy,"mount yale investment advisors llc bought new position shares air products chemicals first quarter worth 114,000 ."
20,they buy,"ims capital management bought new position shares air products chemicals second quarter worth 146,000 ."
21,they buy,"finally vigilant capital management llc bought new position shares air products chemicals second quarter worth 158,000 ."
22,they sell,group sell-side analysts forecast air products chemicals inc. post 7.45 earnings per share current fiscal year .
23,they buy,bmo capital markets reiterated buy rating issued 197.00 target price previously 195.00 shares air products chemicals research report friday july 27th .
24,they sell,zacks investment research lowered shares air products chemicals hold rating sell rating research report wednesday july 18th .
25,they buy,citigroup upped price target shares air products chemicals 198.00 200.00 gave company buy rating report wednesday july 11th .
26,they buy,finally deutsche bank upped price target shares air products chemicals 190.00 192.00 gave company buy rating report tuesday august 14th .
27,they buy,two investment analysts rated stock hold rating eighteen assigned buy rating stock .
28,they buy,air products chemicals currently average rating buy average price target 188.07 .
29,they buy,"mount yale investment advisors llc bought new position shares air products chemicals 1st quarter valued 114,000 ."
30,they buy,"ims capital management bought new stake air products chemicals 2nd quarter valued approximately 146,000 ."
31,they buy,"finally vigilant capital management llc bought new stake air products chemicals 2nd quarter valued approximately 158,000 ."
32,they buy,bmo capital markets restated buy rating issued 197.00 target price previously 195.00 shares air products chemicals research note friday july 27th .
33,they sell,zacks investment research cut air products chemicals hold rating sell rating research note wednesday july 18th .
34,they buy,citigroup boosted target price air products chemicals 198.00 200.00 gave company buy rating research note wednesday july 11th .
35,they buy,finally deutsche bank boosted target price air products chemicals 190.00 192.00 gave company buy rating research note tuesday august 14th .
36,they buy,two equities research analysts rated stock hold rating eighteen issued buy rating company stock .
37,they buy,air products chemicals average rating buy average target price 188.07 .
38,they buy,rockwell automation nyse rok shares bought creative planning loring wolcott coolidge fiduciary advisors llp cut stake shares air products chemicals inc. nyse apd 17.2 3rd quarter according recent 13f filing securities exchange commission .
39,they buy,zacks investment research downgraded air products chemicals buy rating hold rating research note monday october 1st .
40,they buy,valuengine raised air products chemicals hold rating buy rating research note thursday october 4th .
41,they buy,vertical research raised air products chemicals hold rating buy rating research note wednesday august 29th .
42,they buy,finally bmo capital markets reissued buy rating issued 197.00 price objective 195.00 shares air products chemicals research note friday july 27th .
43,they buy,two equities research analysts rated stock hold rating eighteen assigned buy rating company stock .
44,they buy,air products chemicals currently average rating buy average price target 188.07 .
45,they sell,number hedge funds also recently bought sold shares business .
